question_id,lesson_id,icon_first,icon_second,position_first,position_second,ja_show_first,ja_show_second,audio_auto,sentence_first_en,sentence_second_en,sentence_first_ja,sentence_second_ja,answer,chips,audio_first,audio_second
u37_l4_p1,u37_l4,user,Kevin.png,right,left,1,1,1,I got a new puppy yesterday!,________!,昨日、子犬を飼い始めたんだ！,ほんと？かわいい！,Really? So cute,Really?|So|cute,37-4-1-a.mp3,37-4-1-b.mp3
u37_l4_p2,u37_l4,Kevin.png,user,left,right,1,1,1,I saw a bear on the trail.,________?,山道でクマ見たんだよ。,うそでしょ！怖かった？,No way! Were you scared,No|way!|Were|you|scared,37-4-2-a.mp3,37-4-2-b.mp3
u37_l4_p3,u37_l4,Kevin.png,user,left,right,1,1,1,Our team won the championship!,________!,うちのチーム、優勝したんだ！,マジで？すごいじゃん！,Seriously? That's amazing,Seriously?|That's|amazing,37-4-3-a.mp3,37-4-3-b.mp3
u37_l4_p4,u37_l4,user,Kevin.png,right,left,1,1,1,I'm moving to Canada next month.,________?,来月カナダに引っ越すんだ。,そうなの？正確にはいつ？,Oh yeah? When exactly,Oh|yeah?|When|exactly,37-4-4-a.mp3,37-4-4-b.mp3
u37_l4_p5,u37_l4,user,Kevin.png,right,left,1,1,1,This homework is impossible.,________.,この宿題、無理ゲーだよ。,だよね！めっちゃ難しい。,"I know, right? It's so hard","I|know,|right?|It's|so|hard",37-4-5-a.mp3,37-4-5-b.mp3
u37_l4_p6,u37_l4,user,Kevin.png,right,left,1,1,1,"So, I actually quit my job.",________?,でさ、実は仕事辞めたんだ。,え、ほんとに？何があったの？,"Wait, really? What happened","Wait,|really?|What|happened",37-4-6-a.mp3,37-4-6-b.mp3
u37_l4_p7,u37_l4,user,Kevin.png,right,left,1,1,1,The bus was 30 minutes late.,________.,バスが30分も遅れてさ。,うわ、それはきついね。,"Ugh, that's rough","Ugh,|that's|rough",37-4-7-a.mp3,37-4-7-b.mp3
u37_l4_p8,u37_l4,user,Kevin.png,right,left,1,1,1,I finally finished the report.,________.,やっとレポート終わった。,いいね！おつかれ。,Nice! Good job,Nice!|Good|job,37-4-8-a.mp3,37-4-8-b.mp3
u37_l4_p9,u37_l4,user,Kevin.png,right,left,1,1,1,________!,No way! Congrats!,聞いて？試験に受かったんだ！,すごい！おめでとう！,Guess what? I passed the exam,Guess|what?|I|passed|the|exam,37-4-9-a.mp3,37-4-9-b.mp3
u37_l4_p10,u37_l4,user,Kevin.png,right,left,1,1,1,I ran into a celebrity today.,________?,今日、有名人に偶然会ったんだ。,そうなの？誰だったの？,Oh yeah? Who was it,Oh|yeah?|Who|was|it,37-4-10-a.mp3,37-4-10-b.mp3
