question_id,lesson_id,icon_first,icon_second,position_first,position_second,ja_show_first,ja_show_second,audio_auto,sentence_first_en,sentence_second_en,sentence_first_ja,sentence_second_ja,answer,chips,audio_first,audio_second
u5_l2_p1,u5_l2,user,,left,none,1,,0,_____________ .,,私はサッカーするよ。,,I play soccer,I|play|soccer,5-2-1-a.mp3,
u5_l2_p2,u5_l2,user,,left,none,1,,0,_____________ .,,あなたは音楽がすき。,,You like music,You|like|music,5-2-2-a.mp3,
u5_l2_p3,u5_l2,user,,left,none,1,,0,_____________ .,,私たちはテレビをみるよ。,,We watch TV,We|watch|TV,5-2-3-a.mp3,
u5_l2_p4,u5_l2,user,,left,none,1,,0,___________________ .,,彼らはコンピュータを使うよ。,,They use a computer,They|use|a|computer,5-2-4-a.mp3,
u5_l2_p5,u5_l2,user,,left,none,1,,0,_____________ .,,私はペンを持ってるよ。,,I have a pen,I|have|a|pen,5-2-5-a.mp3,
u5_l2_p6,u5_l2,user,,left,none,1,,0,_____________ .,,あなたは本を読みます。,,You read books,You|read|books,5-2-6-a.mp3,
u5_l2_p7,u5_l2,user,,left,none,1,,0,_____________ .,,私は学校に行きます。,,I go to school,I|go|to|school,5-2-7-a.mp3,
u5_l2_p8,u5_l2,user,,left,none,1,,0,___________________ .,,あなたはゲームをします。,,You play video games,You|play|video|games,5-2-8-a.mp3,
u5_l2_p9,u5_l2,user,,left,none,1,,0,___________________ .,,私たちは一緒にランチを食べます。,,We eat lunch together,We|eat|lunch|together,5-2-9-a.mp3,
u5_l2_p10,u5_l2,user,,left,none,1,,0,___________________ .,,彼らは家で映画を見ます。,,They watch movies at home,They|watch|movies|at|home,5-2-10-a.mp3,
u5_l2_p11,u5_l2,user,,left,none,1,,0,_____________ .,,私はかわいい動物が好きです。,,I like cute animals,I|like|cute|animals,5-2-11-a.mp3,
u5_l4_p1,u5_l4,user,,left,none,1,,0,_____________ .,,彼は朝ごはんを食べます。,,He eats breakfast,He|eats|breakfast,5-4-1-a.mp3,
u5_l4_p2,u5_l4,user,,left,none,1,,0,_____________ .,,彼女は英語を学んでるよ。,,She studies English,She|studies|English,5-4-2-a.mp3,
u5_l4_p3,u5_l4,user,,left,none,1,,0,_____________ .,,彼は水を飲むよ。,,He drinks water,He|drinks|water,5-4-3-a.mp3,
u5_l4_p4,u5_l4,user,,left,none,1,,0,_____________ .,,彼女はディナーを作ります。,,She makes dinner,She|makes|dinner,5-4-4-a.mp3,
u5_l4_p5,u5_l4,user,,left,none,1,,0,_____________ .,,彼はサッカーをプレイします。,,He plays soccer,He|plays|soccer,5-4-5-a.mp3,
u5_l4_p6,u5_l4,user,,left,none,1,,0,_____________ .,,彼女は音楽が好きです。,,She likes music,She|likes|music,5-4-6-a.mp3,
u5_l4_p7,u5_l4,user,user,left,left,1,1,0,I have a cat.,_____________ .,私は猫を飼ってるんだ。,そいつ、早く走るんだよ。,It runs fast,It|runs|fast,5-4-7-a.mp3,5-4-7-b.mp3
u5_l6_p1,u5_l6,05.png,user,left,right,1,1,0,___________________ ？,"No, they don't.",彼らはサッカーしますか？,いいえ、しません。,Do they play soccer,Do|they|play|soccer,5-6-1-a.mp3,5-6-1-b.mp3
u5_l6_p2,u5_l6,05.png,user,left,right,1,1,0,___________________ ？,I don't know.,彼女は猫好きですか？,わからない。,Does she like cats,Does|she|like|cats,5-6-2-a.mp3,5-6-2-b.mp3
u5_l6_p3,u5_l6,05.png,user,left,right,1,1,0,___________________ ？,"No, but I have a pencil.",ペンをもっていますか？,いいえ、でも鉛筆は持っています。,Do you have a pen,Do|you|have|a|pen,5-6-3-a.mp3,5-6-3-b.mp3
u5_l6_p4,u5_l6,05.png,user,left,right,1,1,0,___________________ ？,"Yes, he does.",彼はピアノをしますか？,はい、します。,Does he play the piano,Does|he|play|the|piano,5-6-4-a.mp3,5-6-4-b.mp3
u5_l6_p5,u5_l6,05.png,user,left,right,1,1,0,___________________ ？,"No, he doesn't.",彼は朝食を食べますか？,いいえ、たべませんよ。,Does he eat breakfast,Does|he|eat|breakfast,5-6-5-a.mp3,5-6-5-b.mp3
u5_l6_p6,u5_l6,05.png,user,left,right,1,1,0,___________________ ？,"Yes, I like classics.",あなたは音楽好きですか？,はい、クラシックが好きです,Do you like music,Do|you|like|music,5-6-6-a.mp3,5-6-6-b.mp3
u5_l6_p7,u5_l6,05.png,user,left,right,1,1,0,___________________ ？,"Yes, it does.",それ、走るの速いですか？,はい、速いです。,Does it run fast,Does|it|run|fast,5-6-7-a.mp3,5-6-7-b.mp3
u5_l6_p8,u5_l6,05.png,user,left,right,1,1,0,___________________ ？,"No, they don't.",彼らはテレビを見ますか？,いいえ、みません。,Do they watch TV,Do|they|watch|TV,5-6-8-a.mp3,5-6-8-b.mp3
u5_l6_p9,u5_l6,05.png,user,left,right,1,1,0,___________________ ？,"Yes, she does.",彼女はコンピュータは使いますか？,はい、使います。,Does she use a computer,Does|she|use|a|computer,5-6-9-a.mp3,5-6-9-b.mp3
u5_l8_p1,u5_l8,user,,left,none,1,,0,_____________ .,,私は数学が嫌い。,,I don't like math,I|don't|like|math,5-8-1-a.mp3,
u5_l8_p2,u5_l8,user,,left,none,1,,0,___________________ .,,あなたは卓球はしません。,,You don't play table tennis,You|don't|play|table|tennis,5-8-2-a.mp3,
u5_l8_p3,u5_l8,user,,left,none,1,,0,___________________ .,,彼女は蛇が嫌いです。,,She doesn't like snakes,She|doesn't|like|snakes,5-8-3-a.mp3,
