question_id,lesson_id,icon_first,icon_second,position_first,position_second,ja_show_first,ja_show_second,audio_auto,sentence_first_en,sentence_second_en,sentence_first_ja,sentence_second_ja,answer,chips,audio_first,audio_second
u36_l4_p1,u36_l4,05.png,user,left,right,1,1,1,________?,"Ooh, yes please!",クッキー作ったんだ。いる？,わあ、ぜひ！,I made some cookies. Want some,I|made|some|cookies.|Want|some,36-4-1-a.mp3,36-4-1-b.mp3
u36_l4_p2,u36_l4,Mattew.png,user,left,right,1,1,1,________?,"Yes, please! They're so heavy.",その荷物、手伝おうか？,お願い！すごく重くて。,Need help with those bags,Need|help|with|those|bags,36-4-2-a.mp3,36-4-2-b.mp3
u36_l4_p3,u36_l4,Mattew.png,user,left,right,1,1,1,Coming? We're leaving in five minutes!,________.,来る？あと5分で出るよ！,もうすぐ！コート取ってくる。,Almost! Just grabbing my coat,Almost!|Just|grabbing|my|coat,36-4-3-a.mp3,36-4-3-b.mp3
u36_l4_p4,u36_l4,05.png,user,left,right,1,1,1,________?,Yeah... just a lot on my mind.,今日ずっと静かだね。大丈夫？,うん…ちょっと考えごとが多くて。,You've been quiet all day. Feeling okay,You've|been|quiet|all|day.|Feeling|okay,36-4-4-a.mp3,36-4-4-b.mp3
u36_l4_p5,u36_l4,Mattew.png,user,left,right,1,1,1,________?,"Oh, thanks! That's kind.",それ、持とうか？,あ、ありがとう！優しいね。,Want me to carry that for you,Want|me|to|carry|that|for|you,36-4-5-a.mp3,36-4-5-b.mp3
u36_l4_p6,u36_l4,Mattew.png,user,left,right,1,1,1,________?,Almost! Just need my shoes.,行く準備できた？,もうすぐ！靴だけ履くね。,Ready to go,Ready|to|go,36-4-6-a.mp3,36-4-6-b.mp3
u36_l4_p7,u36_l4,05.png,user,left,right,1,1,1,________?,Not yet. Still have math.,宿題終わった？,まだ。算数が残ってる。,Finished your homework,Finished|your|homework,36-4-7-a.mp3,36-4-7-b.mp3
u36_l4_p8,u36_l4,user,Mattew.png,right,left,1,1,1,This box is too heavy for me.,________.,この箱、私には重すぎる。,手伝おうか？片側持つよ。,Need help? I'll grab one side,Need|help?|I'll|grab|one|side,36-4-8-a.mp3,36-4-8-b.mp3
u36_l4_p9,u36_l4,Kevin.png,user,left,right,1,1,1,________?,Sure! What time?,今夜うち来る？,いいね！何時？,Want to come over tonight,Want|to|come|over|tonight,36-4-9-a.mp3,36-4-9-b.mp3
u36_l4_p10,u36_l4,05.png,user,left,right,1,1,1,________?,Yes! I'd love a slice.,パン、作りすぎちゃった。いる？,うん！一枚もらいたいな。,I baked way too much bread. Want some,I|baked|way|too|much|bread.|Want|some,36-4-10-a.mp3,36-4-10-b.mp3
