question_id,lesson_id,icon_first,icon_second,position_first,position_second,ja_show_first,ja_show_second,audio_auto,sentence_first_en,sentence_second_en,sentence_first_ja,sentence_second_ja,answer,chips,audio_first,audio_second
u27_l3_p1,u27_l3,05.png,,left,none,1,,0,________.,,5歳のとき泳げた。,,I could swim when I was five,I|could|swim|when|I|was|five,27-3-1-a.mp3,
u27_l3_p2,u27_l3,05.png,,left,none,1,,0,________.,,祖母はピアノがとても上手だった。,,My grandmother could play the piano very well,My|grandmother|could|play|the|piano|very|well,27-3-2-a.mp3,
u27_l3_p3,u27_l3,05.png,,left,none,1,,0,________.,,昔の家から山が見えた。,,We could see the mountains from our old house,We|could|see|the|mountains|from|our|old|house,27-3-3-a.mp3,
u27_l3_p4,u27_l3,05.png,,left,none,1,,0,________?,,窓を開けてもらえますか？,,Could you open the window,Could|you|open|the|window,27-3-4-a.mp3,
u27_l3_p5,u27_l3,05.png,,left,none,1,,0,________?,,宿題を手伝ってもらえますか？,,Could you help me with my homework,Could|you|help|me|with|my|homework,27-3-5-a.mp3,
u27_l3_p6,u27_l3,05.png,,left,none,1,,0,________?,,もう少しゆっくり話していただけますか？,,Could you speak more slowly,Could|you|speak|more|slowly,27-3-6-a.mp3,
u27_l3_p7,u27_l3,05.png,,left,none,1,,0,________?,,ペンをお借りしてもいいですか？,,Could I use your pen,Could|I|use|your|pen,27-3-7-a.mp3,
u27_l3_p8,u27_l3,05.png,,left,none,1,,0,________.,,今年の夏は京都に行ってもいいかもね。,,We could go to Kyoto this summer,We|could|go|to|Kyoto|this|summer,27-3-8-a.mp3,
u27_l3_p9,u27_l3,05.png,,left,none,1,,0,________.,,午後は雨が降るかもしれない,,It could rain this afternoon,It|could|rain|this|afternoon,27-3-9-a.mp3,
u27_l3_p10,u27_l3,05.png,,left,none,1,,0,________.,,それは本当かもしれない。,,That could be true,That|could|be|true,27-3-10-a.mp3,
u27_l3_p11,u27_l3,05.png,,left,none,1,,0,________.,,これが答えかもしれない。,,This could be the answer,This|could|be|the|answer,27-3-11-a.mp3,
u27_l5_p1,u27_l5,05.png,,left,none,1,,0,________.,,子どもの頃は毎日外で遊んでいた。,,"When I was a child, I would play outside every day","When|I|was|a|child,|I|would|play|outside|every|day",27-5-1-a.mp3,
u27_l5_p2,u27_l5,05.png,,left,none,1,,0,________.,,祖父は寝る前によく昔話をしてくれた。,,My grandfather would tell me stories before bed,My|grandfather|would|tell|me|stories|before|bed,27-5-2-a.mp3,
u27_l5_p3,u27_l5,05.png,,left,none,1,,0,________.,,私たちは毎年夏になると釣りに行った。,,We would go fishing every summer,We|would|go|fishing|every|summer,27-5-3-a.mp3,
u27_l5_p4,u27_l5,05.png,,left,none,1,,0,________.,,父は日曜日によくパンケーキを作った。,,Dad would make pancakes on Sundays,Dad|would|make|pancakes|on|Sundays,27-5-4-a.mp3,
u27_l5_p5,u27_l5,05.png,,left,none,1,,0,________.,,彼は私の言うことを聞こうとしなかった。,,He wouldn't listen to me,He|wouldn't|listen|to|me,27-5-5-a.mp3,
u27_l5_p6,u27_l5,05.png,,left,none,1,,0,________.,,彼女は私の質問に答えようとしなかった。,,She wouldn't answer my question,She|wouldn't|answer|my|question,27-5-6-a.mp3,
u27_l5_p7,u27_l5,05.png,,left,none,1,,0,________.,,パソコンがどうしても起動しなかった。,,My computer wouldn't start,My|computer|wouldn't|start,27-5-7-a.mp3,
u27_l5_p8,u27_l5,05.png,,left,none,1,,0,________.,,ドアがどうしても開かなかった,,The door wouldn't open,The|door|wouldn't|open,27-5-8-a.mp3,
u27_l5_p9,u27_l5,05.png,,left,none,1,,0,________.,,Lサイズのピザをお願いします。,,I'd like a large pizza,I'd|like|a|large|pizza,27-5-9-a.mp3,
u27_l5_p10,u27_l5,05.png,,left,none,1,,0,________.,,もう家に帰りたいな。,,I'd like to go home now,I'd|like|to|go|home|now,27-5-10-a.mp3,
u27_l5_p11,u27_l5,05.png,,left,none,1,,0,________.,,また京都に行きたいな。,,I'd like to visit Kyoto again,I'd|like|to|visit|Kyoto|again,27-5-11-a.mp3,
u27_l5_p12,u27_l5,05.png,,left,none,1,,0,________?,,お茶はいかがですか？,,Would you like some tea,Would|you|like|some|tea,27-5-12-a.mp3,
u27_l5_p13,u27_l5,05.png,,left,none,1,,0,________?,,ゲームやる？,,Would you like to play this game,Would|you|like|to|play|this|game,27-5-13-a.mp3,
u27_l7_p1,u27_l7,05.png,,left,none,1,,0,________.,,今日の午後は雨が降るかもしれない。,,It might rain this afternoon,It|might|rain|this|afternoon,27-7-1-a.mp3,
u27_l7_p2,u27_l7,05.png,,left,none,1,,0,________.,,明日図書館に行くかも。,,I might go to the library tomorrow,I|might|go|to|the|library|tomorrow,27-7-2-a.mp3,
u27_l7_p3,u27_l7,05.png,,left,none,1,,0,________.,,彼女は今忙しいかもしれない。,,She might be busy now,She|might|be|busy|now,27-7-3-a.mp3,
u27_l7_p4,u27_l7,05.png,,left,none,1,,0,________.,,この鍵で開くかもしれない。,,This key might work,This|key|might|work,27-7-4-a.mp3,
u27_l7_p5,u27_l7,05.png,,left,none,1,,0,________.,,彼は答えを知っているかもしれない。,,He might know the answer,He|might|know|the|answer,27-7-5-a.mp3,
