question_id,lesson_id,icon_first,icon_second,position_first,position_second,ja_show_first,ja_show_second,audio_auto,sentence_first_en,sentence_second_en,sentence_first_ja,sentence_second_ja,answer,chips,audio_first,audio_second
u36_l6_p1,u36_l6,user,Kevin.png,right,left,1,1,1,Let's meet at seven.,________.,7時に会おう。,いいね！じゃあその時に。,Sounds good! See you then,Sounds|good!|See|you|then,36-6-1-a.mp3,36-6-1-b.mp3
u36_l6_p2,u36_l6,Matthew.png,user,left,right,1,1,1,Are you ready?,________.,準備いい？,オッケー！行こう。,Ready! Let's go,Ready!|Let's|go,36-6-2-a.mp3,36-6-2-b.mp3
u36_l6_p3,u36_l6,user,Kevin.png,right,left,1,1,1,Let's leave early to beat the crowd.,________.,混む前に早めに出よう。,なるほど、いいね。,Makes sense. Good idea,Makes|sense.|Good|idea,36-6-3-a.mp3,36-6-3-b.mp3
u36_l6_p4,u36_l6,user,Matthew.png,right,left,1,1,1,Thanks so much for helping.,________.,手伝ってくれて本当にありがとう。,問題ないよ！いつでも。,No problem! Anytime,No|problem!|Anytime,36-6-4-a.mp3,36-6-4-b.mp3
u36_l6_p5,u36_l6,05.png,user,left,right,1,1,1,You're still awake?,________.,まだ起きてるの？,眠れなくて。考えごとが多すぎて。,Can't sleep. Too much on my mind,Can't|sleep.|Too|much|on|my|mind,36-6-5-a.mp3,36-6-5-b.mp3
u36_l6_p6,u36_l6,Kevin.png,user,left,right,1,1,1,Do you know the answer?,________.,答え分かる？,わかんないな。考えさせて。,Not sure. Let me think,Not|sure.|Let|me|think,36-6-6-a.mp3,36-6-6-b.mp3
u36_l6_p7,u36_l6,Matthew.png,user,left,right,1,1,1,Can you finish it by Friday?,________.,金曜までに終わる？,問題ないよ。もうほぼ終わってる。,No problem. I'm almost done,No|problem.|I'm|almost|done,36-6-7-a.mp3,36-6-7-b.mp3
u36_l6_p8,u36_l6,user,Kevin.png,right,left,1,1,1,________?,Sounds good! I'm starving.,お昼食べに行く？,いいね！お腹ぺこぺこ。,Want to grab lunch,Want|to|grab|lunch,36-6-8-a.mp3,36-6-8-b.mp3
u36_l6_p9,u36_l6,Matthew.png,user,left,right,1,1,1,The meeting is at nine tomorrow.,________.,会議は明日の9時ね。,なるほど。朝のほうがいいもんね。,Makes sense. Morning is better,Makes|sense.|Morning|is|better,36-6-9-a.mp3,36-6-9-b.mp3
u36_l6_p10,u36_l6,05.png,user,left,right,1,1,1,You've been up all night?,________.,一晩中起きてたの？,眠れなくて。明日、大事な日だから。,Can't sleep. Big day tomorrow,Can't|sleep.|Big|day|tomorrow,36-6-10-a.mp3,36-6-10-b.mp3
