question_id,question_no,round_id,lesson_id,sentence1_origin,sentence2_origin,sentence_first_ja,sentence_second_ja,highlight_word,bubble_gray,chip_input,audio1_input,audio2_input,voice1,voice2,audio_auto,icon_first,icon_second,position_first,position_second,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second
st1_sec3_e0121a,1,ast1_sec3_r01,,What's your favorite number?,Seven! It's my lucky one.,好きな数字は何？,7！私のラッキーナンバーなんだ。,number,2,What's your favorite number?,1-3-1,1-3-1,Ivy,Ruth,1,user,05.png,right,left,____________,____________,What's your favorite number?,What's|your|favorite|number?,1-3-1-a.mp3,1-3-1-b.mp3
st1_sec3_e0121b,2,ast1_sec3_r01,,What's your favorite number?,Seven! It's my lucky one.,好きな数字は何？,7！私のラッキーナンバーなんだ。,number,1,Seven! It's my lucky one.,1-3-1,1-3-1,Ivy,Ruth,2,user,05.png,right,left,What's your favorite number?,____________,Seven! It's my lucky one.,Seven!|It's|my|lucky|one.,1-3-1-a.mp3,1-3-1-b.mp3
st1_sec3_e0122a,3,ast1_sec3_r01,,I can't believe we won the game!,"I know, right?! That was amazing!",試合に勝てたなんて信じられない！,だよね！すごかったよね！,believe,2,I can't believe we won the game!,1-3-2,1-3-2,Ivy,Ruth,1,user,05.png,right,left,____________,____________,I can't believe we won the game!,I|can't|believe|we|won|the|game!,1-3-2-a.mp3,1-3-2-b.mp3
st1_sec3_e0122b,4,ast1_sec3_r01,,I can't believe we won the game!,"I know, right?! That was amazing!",試合に勝てたなんて信じられない！,だよね！すごかったよね！,believe,1,"I know, right?! That was amazing!",1-3-2,1-3-2,Ivy,Ruth,2,user,05.png,right,left,I can't believe we won the game!,____________,"I know, right?! That was amazing!","I|know,|right?!|That|was|amazing!",1-3-2-a.mp3,1-3-2-b.mp3
st1_sec3_e0123a,5,ast1_sec3_r01,,"Hi! Come on in, the snacks are ready!","Yay, thanks for inviting me!",やあ！入って入って、おやつができたよ！,やったぁ、呼んでくれてありがとう！,come on in,2,"Hi! Come on in, the snacks are ready!",1-3-3,1-3-3,Ivy,Ruth,1,user,05.png,right,left,____________,____________,"Hi! Come on in, the snacks are ready!","Hi!|Come|on|in,|the|snacks|are|ready!",1-3-3-a.mp3,1-3-3-b.mp3
st1_sec3_e0123b,6,ast1_sec3_r01,,"Hi! Come on in, the snacks are ready!","Yay, thanks for inviting me!",やあ！入って入って、おやつができたよ！,やったぁ、呼んでくれてありがとう！,come on in,1,"Yay, thanks for inviting me!",1-3-3,1-3-3,Ivy,Ruth,2,user,05.png,right,left,"Hi! Come on in, the snacks are ready!",____________,"Yay, thanks for inviting me!","Yay,|thanks|for|inviting|me!",1-3-3-a.mp3,1-3-3-b.mp3
st1_sec3_e0124a,7,ast1_sec3_r01,,Take a look at this funny video!,"Haha, that puppy is so cute!",この面白い動画を見て！,あはは、その子犬すごくかわいい！,take a look at,2,Take a look at this funny video!,1-3-4,1-3-4,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Take a look at this funny video!,Take|a|look|at|this|funny|video!,1-3-4-a.mp3,1-3-4-b.mp3
st1_sec3_e0124b,8,ast1_sec3_r01,,Take a look at this funny video!,"Haha, that puppy is so cute!",この面白い動画を見て！,あはは、その子犬すごくかわいい！,take a look at,1,"Haha, that puppy is so cute!",1-3-4,1-3-4,Ivy,Ruth,2,user,05.png,right,left,Take a look at this funny video!,____________,"Haha, that puppy is so cute!","Haha,|that|puppy|is|so|cute!",1-3-4-a.mp3,1-3-4-b.mp3
st1_sec3_e0125a,9,ast1_sec3_r01,,Please go on with your story!,"Okay, so then the dog jumped over the fence...",続きを話して！,うん、それでね、犬がフェンスを飛び越えたんだ…,go on,2,Please go on with your story!,1-3-5,1-3-5,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Please go on with your story!,Please|go|on|with|your|story!,1-3-5-a.mp3,1-3-5-b.mp3
st1_sec3_e0125b,10,ast1_sec3_r01,,Please go on with your story!,"Okay, so then the dog jumped over the fence...",続きを話して！,うん、それでね、犬がフェンスを飛び越えたんだ…,go on,1,"Okay, so then the dog jumped over the fence...",1-3-5,1-3-5,Ivy,Ruth,2,user,05.png,right,left,Please go on with your story!,____________,"Okay, so then the dog jumped over the fence...","Okay,|so|then|the|dog|jumped|over|the|fence...",1-3-5-a.mp3,1-3-5-b.mp3
st1_sec3_e0126a,11,ast1_sec3_r02,,Yes! I finally finished my homework!,Nice! Now let's go play outside!,やった！やっと宿題が終わった！,いいね！じゃあ外で遊ぼう！,finally,2,Yes! I finally finished my homework!,1-3-6,1-3-6,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Yes! I finally finished my homework!,Yes!|I|finally|finished|my|homework!,1-3-6-a.mp3,1-3-6-b.mp3
st1_sec3_e0126b,12,ast1_sec3_r02,,Yes! I finally finished my homework!,Nice! Now let's go play outside!,やった！やっと宿題が終わった！,いいね！じゃあ外で遊ぼう！,finally,1,Nice! Now let's go play outside!,1-3-6,1-3-6,Ivy,Ruth,2,user,05.png,right,left,Yes! I finally finished my homework!,____________,Nice! Now let's go play outside!,Nice!|Now|let's|go|play|outside!,1-3-6-a.mp3,1-3-6-b.mp3
st1_sec3_e0127a,13,ast1_sec3_r02,,"I packed snacks, water, a map, and so on.","Wow, you're ready for the trip!",おやつ、水、地図、とかを詰めたよ。,わぁ、旅行の準備バッチリだね！,and so on,2,"I packed snacks, water, a map, and so on.",1-3-7,1-3-7,Ivy,Ruth,1,user,05.png,right,left,____________,____________,"I packed snacks, water, a map, and so on.","I|packed|snacks,|water,|a|map,|and|so|on.",1-3-7-a.mp3,1-3-7-b.mp3
st1_sec3_e0127b,14,ast1_sec3_r02,,"I packed snacks, water, a map, and so on.","Wow, you're ready for the trip!",おやつ、水、地図、とかを詰めたよ。,わぁ、旅行の準備バッチリだね！,and so on,1,"Wow, you're ready for the trip!",1-3-7,1-3-7,Ivy,Ruth,2,user,05.png,right,left,"I packed snacks, water, a map, and so on.",____________,"Wow, you're ready for the trip!","Wow,|you're|ready|for|the|trip!",1-3-7-a.mp3,1-3-7-b.mp3
st1_sec3_e0128a,15,ast1_sec3_r02,,Turn left at the next corner!,Got it! Thanks for the directions.,次の角を左に曲がってね！,了解！道案内ありがとう。,corner,2,Turn left at the next corner!,1-3-8,1-3-8,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Turn left at the next corner!,Turn|left|at|the|next|corner!,1-3-8-a.mp3,1-3-8-b.mp3
st1_sec3_e0128b,16,ast1_sec3_r02,,Turn left at the next corner!,Got it! Thanks for the directions.,次の角を左に曲がってね！,了解！道案内ありがとう。,corner,1,Got it! Thanks for the directions.,1-3-8,1-3-8,Ivy,Ruth,2,user,05.png,right,left,Turn left at the next corner!,____________,Got it! Thanks for the directions.,Got|it!|Thanks|for|the|directions.,1-3-8-a.mp3,1-3-8-b.mp3
st1_sec3_e0129a,17,ast1_sec3_r02,,What are you reading about?,Dinosaurs! Look at this huge T-Rex!,何の本を読んでるの？,恐竜だよ！この大きなティラノサウルス見て！,about,2,What are you reading about?,1-3-9,1-3-9,Ivy,Ruth,1,user,05.png,right,left,____________,____________,What are you reading about?,What|are|you|reading|about?,1-3-9-a.mp3,1-3-9-b.mp3
st1_sec3_e0129b,18,ast1_sec3_r02,,What are you reading about?,Dinosaurs! Look at this huge T-Rex!,何の本を読んでるの？,恐竜だよ！この大きなティラノサウルス見て！,about,1,Dinosaurs! Look at this huge T-Rex!,1-3-9,1-3-9,Ivy,Ruth,2,user,05.png,right,left,What are you reading about?,____________,Dinosaurs! Look at this huge T-Rex!,Dinosaurs!|Look|at|this|huge|T-Rex!,1-3-9-a.mp3,1-3-9-b.mp3
st1_sec3_e0130a,19,ast1_sec3_r02,,I have to do my homework before dinner.,Need help with it?,夕ごはんの前に宿題やらなきゃ。,手伝おうか？,have to do,2,I have to do my homework before dinner.,1-3-10,1-3-10,Ivy,Ruth,1,user,05.png,right,left,____________,____________,I have to do my homework before dinner.,I|have|to|do|my|homework|before|dinner.,1-3-10-a.mp3,1-3-10-b.mp3
st1_sec3_e0130b,20,ast1_sec3_r02,,I have to do my homework before dinner.,Need help with it?,夕ごはんの前に宿題やらなきゃ。,手伝おうか？,have to do,1,Need help with it?,1-3-10,1-3-10,Ivy,Ruth,2,user,05.png,right,left,I have to do my homework before dinner.,____________,Need help with it?,Need|help|with|it?,1-3-10-a.mp3,1-3-10-b.mp3
st1_sec3_e0131a,21,ast1_sec3_r03,,"Wait a second, I'm coming!",Hurry up! The bus is here!,ちょっと待って、今行く！,急いで！バスが来たよ！,second,2,"Wait a second, I'm coming!",1-3-11,1-3-11,Ivy,Ruth,1,user,05.png,right,left,____________,____________,"Wait a second, I'm coming!","Wait|a|second,|I'm|coming!",1-3-11-a.mp3,1-3-11-b.mp3
st1_sec3_e0131b,22,ast1_sec3_r03,,"Wait a second, I'm coming!",Hurry up! The bus is here!,ちょっと待って、今行く！,急いで！バスが来たよ！,second,1,Hurry up! The bus is here!,1-3-11,1-3-11,Ivy,Ruth,2,user,05.png,right,left,"Wait a second, I'm coming!",____________,Hurry up! The bus is here!,Hurry|up!|The|bus|is|here!,1-3-11-a.mp3,1-3-11-b.mp3
st1_sec3_e0132a,23,ast1_sec3_r03,,My younger brother is so funny!,How old is he?,私の弟、すごく面白いんだ！,何歳なの？,younger,2,My younger brother is so funny!,1-3-12,1-3-12,Ivy,Ruth,1,user,05.png,right,left,____________,____________,My younger brother is so funny!,My|younger|brother|is|so|funny!,1-3-12-a.mp3,1-3-12-b.mp3
st1_sec3_e0132b,24,ast1_sec3_r03,,My younger brother is so funny!,How old is he?,私の弟、すごく面白いんだ！,何歳なの？,younger,1,How old is he?,1-3-12,1-3-12,Ivy,Ruth,2,user,05.png,right,left,My younger brother is so funny!,____________,How old is he?,How|old|is|he?,1-3-12-a.mp3,1-3-12-b.mp3
st1_sec3_e0133a,25,ast1_sec3_r03,,I want to go traveling around the world!,Same! Where should we go first?,世界中を旅したいな！,同じ！まずどこ行こうか？,travel,2,I want to go traveling around the world!,1-3-13,1-3-13,Ivy,Ruth,1,user,05.png,right,left,____________,____________,I want to go traveling around the world!,I|want|to|go|traveling|around|the|world!,1-3-13-a.mp3,1-3-13-b.mp3
