question_id,question_no,round_id,lesson_id,sentence1_origin,sentence2_origin,sentence_first_ja,sentence_second_ja,highlight_word,bubble_gray,chip_input,audio1_input,audio2_input,voice1,voice2,audio_auto,icon_first,icon_second,position_first,position_second,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second
st1_sec6_e0301a,1,ast1_sec6_r01,,Look at that beautiful sunset!,"Wow, the sky is full of orange and pink!",見て、あのきれいな夕焼け！,わぁ、空がオレンジとピンクでいっぱい！,look at,2,Look at that beautiful sunset!,1-6-1,1-6-1,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Look at that beautiful sunset!,Look|at|that|beautiful|sunset!,1-6-1-a.mp3,1-6-1-b.mp3
st1_sec6_e0301b,2,ast1_sec6_r01,,Look at that beautiful sunset!,"Wow, the sky is full of orange and pink!",見て、あのきれいな夕焼け！,わぁ、空がオレンジとピンクでいっぱい！,look at,1,"Wow, the sky is full of orange and pink!",1-6-1,1-6-1,Ivy,Ruth,2,user,05.png,right,left,Look at that beautiful sunset!,____________,"Wow, the sky is full of orange and pink!","Wow,|the|sky|is|full|of|orange|and|pink!",1-6-1-a.mp3,1-6-1-b.mp3
st1_sec6_e0302a,3,ast1_sec6_r01,,There's a snack bar on the other side of the park.,Cool! Let's check it out.,公園の反対側に売店があるよ。,いいね!見に行こう。,side,2,There's a snack bar on the other side of the park.,1-6-2,1-6-2,Ivy,Ruth,1,user,05.png,right,left,____________,____________,There's a snack bar on the other side of the park.,There's|a|snack|bar|on|the|other|side|of|the|park.,1-6-2-a.mp3,1-6-2-b.mp3
st1_sec6_e0302b,4,ast1_sec6_r01,,There's a snack bar on the other side of the park.,Cool! Let's check it out.,公園の反対側に売店があるよ。,いいね!見に行こう。,side,1,Cool! Let's check it out.,1-6-2,1-6-2,Ivy,Ruth,2,user,05.png,right,left,There's a snack bar on the other side of the park.,____________,Cool! Let's check it out.,Cool!|Let's|check|it|out.,1-6-2-a.mp3,1-6-2-b.mp3
st1_sec6_e0303a,5,ast1_sec6_r01,,These bags are too heavy. Can you carry one?,"Sure, let me help you!",このバッグ重すぎる。一つ持ってくれる？,いいよ、手伝うね！,carry,2,These bags are too heavy. Can you carry one?,1-6-3,1-6-3,Ivy,Ruth,1,user,05.png,right,left,____________,____________,These bags are too heavy. Can you carry one?,These|bags|are|too|heavy.|Can|you|carry|one?,1-6-3-a.mp3,1-6-3-b.mp3
st1_sec6_e0303b,6,ast1_sec6_r01,,These bags are too heavy. Can you carry one?,"Sure, let me help you!",このバッグ重すぎる。一つ持ってくれる？,いいよ、手伝うね！,carry,1,"Sure, let me help you!",1-6-3,1-6-3,Ivy,Ruth,2,user,05.png,right,left,These bags are too heavy. Can you carry one?,____________,"Sure, let me help you!","Sure,|let|me|help|you!",1-6-3-a.mp3,1-6-3-b.mp3
st1_sec6_e0304a,7,ast1_sec6_r01,,We visit Grandma every year in summer.,That sounds so fun!,毎年夏におばあちゃんに会いに行くんだ。,すごく楽しそう！,every year,2,We visit Grandma every year in summer.,1-6-4,1-6-4,Ivy,Ruth,1,user,05.png,right,left,____________,____________,We visit Grandma every year in summer.,We|visit|Grandma|every|year|in|summer.,1-6-4-a.mp3,1-6-4-b.mp3
st1_sec6_e0304b,8,ast1_sec6_r01,,We visit Grandma every year in summer.,That sounds so fun!,毎年夏におばあちゃんに会いに行くんだ。,すごく楽しそう！,every year,1,That sounds so fun!,1-6-4,1-6-4,Ivy,Ruth,2,user,05.png,right,left,We visit Grandma every year in summer.,____________,That sounds so fun!,That|sounds|so|fun!,1-6-4-a.mp3,1-6-4-b.mp3
st1_sec6_e0305a,9,ast1_sec6_r01,,I'll do my best in the test tomorrow!,I believe in you! You got this!,明日のテスト、全力でがんばる！,信じてるよ!きみならできる！,do my best,2,I'll do my best in the test tomorrow!,1-6-5,1-6-5,Ivy,Ruth,1,user,05.png,right,left,____________,____________,I'll do my best in the test tomorrow!,I'll|do|my|best|in|the|test|tomorrow!,1-6-5-a.mp3,1-6-5-b.mp3
st1_sec6_e0305b,10,ast1_sec6_r01,,I'll do my best in the test tomorrow!,I believe in you! You got this!,明日のテスト、全力でがんばる！,信じてるよ!きみならできる！,do my best,1,I believe in you! You got this!,1-6-5,1-6-5,Ivy,Ruth,2,user,05.png,right,left,I'll do my best in the test tomorrow!,____________,I believe in you! You got this!,I|believe|in|you!|You|got|this!,1-6-5-a.mp3,1-6-5-b.mp3
