question_id,question_no,round_id,lesson_id,sentence1_origin,sentence2_origin,sentence_first_ja,sentence_second_ja,highlight_word,bubble_gray,chip_input,audio1_input,audio2_input,voice1,voice2,audio_auto,icon_first,icon_second,position_first,position_second,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second
st1_sec7_e0361a,1,ast1_sec7_r01,,What are you looking for?,My favorite pencil. I can't find it!,何を探してるの？,お気に入りの鉛筆。見つからないんだ！,looking for,2,What are you looking for?,1-7-1,1-7-1,Ivy,Ruth,1,user,05.png,right,left,____________,____________,What are you looking for?,What|are|you|looking|for?,1-7-1-a.mp3,1-7-1-b.mp3
st1_sec7_e0361b,2,ast1_sec7_r01,,What are you looking for?,My favorite pencil. I can't find it!,何を探してるの？,お気に入りの鉛筆。見つからないんだ！,looking for,1,My favorite pencil. I can't find it!,1-7-1,1-7-1,Ivy,Ruth,2,user,05.png,right,left,What are you looking for?,____________,My favorite pencil. I can't find it!,My|favorite|pencil.|I|can't|find|it!,1-7-1-a.mp3,1-7-1-b.mp3
st1_sec7_e0362a,3,ast1_sec7_r01,,Let's watch a movie tonight!,Yes! Can we have popcorn too?,今夜、映画を見ようよ！,うん！ポップコーンも食べていい？,watch,2,Let's watch a movie tonight!,1-7-2,1-7-2,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Let's watch a movie tonight!,Let's|watch|a|movie|tonight!,1-7-2-a.mp3,1-7-2-b.mp3
st1_sec7_e0362b,4,ast1_sec7_r01,,Let's watch a movie tonight!,Yes! Can we have popcorn too?,今夜、映画を見ようよ！,うん！ポップコーンも食べていい？,watch,1,Yes! Can we have popcorn too?,1-7-2,1-7-2,Ivy,Ruth,2,user,05.png,right,left,Let's watch a movie tonight!,____________,Yes! Can we have popcorn too?,Yes!|Can|we|have|popcorn|too?,1-7-2-a.mp3,1-7-2-b.mp3
st1_sec7_e0363a,5,ast1_sec7_r01,,I got 100 on my test!,No way! That's amazing!,テストで100点取ったよ！,うそでしょ！すごいじゃん！,no way,2,I got 100 on my test!,1-7-3,1-7-3,Ivy,Ruth,1,user,05.png,right,left,____________,____________,I got 100 on my test!,I|got|100|on|my|test!,1-7-3-a.mp3,1-7-3-b.mp3
st1_sec7_e0363b,6,ast1_sec7_r01,,I got 100 on my test!,No way! That's amazing!,テストで100点取ったよ！,うそでしょ！すごいじゃん！,no way,1,No way! That's amazing!,1-7-3,1-7-3,Ivy,Ruth,2,user,05.png,right,left,I got 100 on my test!,____________,No way! That's amazing!,No|way!|That's|amazing!,1-7-3-a.mp3,1-7-3-b.mp3
st1_sec7_e0364a,7,ast1_sec7_r01,,Do you want to go for a walk?,Sure! Let's bring the dog!,散歩に行かない？,いいね！犬も連れて行こう！,go for a walk,2,Do you want to go for a walk?,1-7-4,1-7-4,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Do you want to go for a walk?,Do|you|want|to|go|for|a|walk?,1-7-4-a.mp3,1-7-4-b.mp3
st1_sec7_e0364b,8,ast1_sec7_r01,,Do you want to go for a walk?,Sure! Let's bring the dog!,散歩に行かない？,いいね！犬も連れて行こう！,go for a walk,1,Sure! Let's bring the dog!,1-7-4,1-7-4,Ivy,Ruth,2,user,05.png,right,left,Do you want to go for a walk?,____________,Sure! Let's bring the dog!,Sure!|Let's|bring|the|dog!,1-7-4-a.mp3,1-7-4-b.mp3
st1_sec7_e0365a,9,ast1_sec7_r01,,How was your soccer game?,Pretty good! We almost won.,サッカーの試合どうだった？,けっこう良かったよ！もう少しで勝てたんだ。,pretty good,2,How was your soccer game?,1-7-5,1-7-5,Ivy,Ruth,1,user,05.png,right,left,____________,____________,How was your soccer game?,How|was|your|soccer|game?,1-7-5-a.mp3,1-7-5-b.mp3
st1_sec7_e0365b,10,ast1_sec7_r01,,How was your soccer game?,Pretty good! We almost won.,サッカーの試合どうだった？,けっこう良かったよ！もう少しで勝てたんだ。,pretty good,1,Pretty good! We almost won.,1-7-5,1-7-5,Ivy,Ruth,2,user,05.png,right,left,How was your soccer game?,____________,Pretty good! We almost won.,Pretty|good!|We|almost|won.,1-7-5-a.mp3,1-7-5-b.mp3
