question_id,question_no,round_id,lesson_id,sentence1_origin,sentence2_origin,sentence_first_ja,sentence_second_ja,highlight_word,bubble_gray,chip_input,audio1_input,audio2_input,voice1,voice2,audio_auto,icon_first,icon_second,position_first,position_second,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second
st1_sec2_e0061a,1,ast1_sec2_r01,,I've been to Tokyo only once.,Was it fun?,東京には一回だけ行ったことがあるよ。,楽しかった？,once,2,I've been to Tokyo only once.,1-2-1,1-2-1,Ivy,Ruth,1,user,05.png,right,left,____________,____________,I've been to Tokyo only once.,I've|been|to|Tokyo|only|once.,1-2-1-a.mp3,1-2-1-b.mp3
st1_sec2_e0061b,2,ast1_sec2_r01,,I've been to Tokyo only once.,Was it fun?,東京には一回だけ行ったことがあるよ。,楽しかった？,once,1,Was it fun?,1-2-1,1-2-1,Ivy,Ruth,2,user,05.png,right,left,I've been to Tokyo only once.,____________,Was it fun?,Was|it|fun?,1-2-1-a.mp3,1-2-1-b.mp3
st1_sec2_e0062a,3,ast1_sec2_r01,,Promise me you won't tell anyone!,I promise! Your secret is safe with me.,誰にも言わないって約束して！,約束する！秘密は守るよ。,promise,2,Promise me you won't tell anyone!,1-2-2,1-2-2,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Promise me you won't tell anyone!,Promise|me|you|won't|tell|anyone!,1-2-2-a.mp3,1-2-2-b.mp3
st1_sec2_e0062b,4,ast1_sec2_r01,,Promise me you won't tell anyone!,I promise! Your secret is safe with me.,誰にも言わないって約束して！,約束する！秘密は守るよ。,promise,1,I promise! Your secret is safe with me.,1-2-2,1-2-2,Ivy,Ruth,2,user,05.png,right,left,Promise me you won't tell anyone!,____________,I promise! Your secret is safe with me.,I|promise!|Your|secret|is|safe|with|me.,1-2-2-a.mp3,1-2-2-b.mp3
st1_sec2_e0063a,5,ast1_sec2_r01,,Mom said she'll pay for the movie tickets!,"Yay! Thank you, Mom!",ママが映画のチケット代を払ってくれるって！,やったぁ！ありがとう、ママ！,pay,2,Mom said she'll pay for the movie tickets!,1-2-3,1-2-3,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Mom said she'll pay for the movie tickets!,Mom|said|she'll|pay|for|the|movie|tickets!,1-2-3-a.mp3,1-2-3-b.mp3
st1_sec2_e0063b,6,ast1_sec2_r01,,Mom said she'll pay for the movie tickets!,"Yay! Thank you, Mom!",ママが映画のチケット代を払ってくれるって！,やったぁ！ありがとう、ママ！,pay,1,"Yay! Thank you, Mom!",1-2-3,1-2-3,Ivy,Ruth,2,user,05.png,right,left,Mom said she'll pay for the movie tickets!,____________,"Yay! Thank you, Mom!","Yay!|Thank|you,|Mom!",1-2-3-a.mp3,1-2-3-b.mp3
st1_sec2_e0064a,7,ast1_sec2_r01,,Everyone in my class likes the new teacher.,Cool! What makes her so special?,クラスのみんな、新しい先生が好きなんだ。,いいね！どんなところが素敵なの？,everyone,2,Everyone in my class likes the new teacher.,1-2-4,1-2-4,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Everyone in my class likes the new teacher.,Everyone|in|my|class|likes|the|new|teacher.,1-2-4-a.mp3,1-2-4-b.mp3
st1_sec2_e0064b,8,ast1_sec2_r01,,Everyone in my class likes the new teacher.,Cool! What makes her so special?,クラスのみんな、新しい先生が好きなんだ。,いいね！どんなところが素敵なの？,everyone,1,Cool! What makes her so special?,1-2-4,1-2-4,Ivy,Ruth,2,user,05.png,right,left,Everyone in my class likes the new teacher.,____________,Cool! What makes her so special?,Cool!|What|makes|her|so|special?,1-2-4-a.mp3,1-2-4-b.mp3
st1_sec2_e0065a,9,ast1_sec2_r01,,We can't go because it's raining hard.,"Oh, that makes sense.",雨が強いから行けないんだ。,あぁ、それなら仕方ないね。,That makes sense.,2,We can't go because it's raining hard.,1-2-5,1-2-5,Ivy,Ruth,1,user,05.png,right,left,____________,____________,We can't go because it's raining hard.,We|can't|go|because|it's|raining|hard.,1-2-5-a.mp3,1-2-5-b.mp3
st1_sec2_e0065b,10,ast1_sec2_r01,,We can't go because it's raining hard.,"Oh, that makes sense.",雨が強いから行けないんだ。,あぁ、それなら仕方ないね。,That makes sense.,1,"Oh, that makes sense.",1-2-5,1-2-5,Ivy,Ruth,2,user,05.png,right,left,We can't go because it's raining hard.,____________,"Oh, that makes sense.","Oh,|that|makes|sense.",1-2-5-a.mp3,1-2-5-b.mp3
st1_sec2_e0066a,11,ast1_sec2_r02,,Can I get you something to drink?,Yes please! Water would be great.,何か飲み物いる？,うん、お願い！お水がいいな。,something,2,Can I get you something to drink?,1-2-6,1-2-6,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Can I get you something to drink?,Can|I|get|you|something|to|drink?,1-2-6-a.mp3,1-2-6-b.mp3
st1_sec2_e0066b,12,ast1_sec2_r02,,Can I get you something to drink?,Yes please! Water would be great.,何か飲み物いる？,うん、お願い！お水がいいな。,something,1,Yes please! Water would be great.,1-2-6,1-2-6,Ivy,Ruth,2,user,05.png,right,left,Can I get you something to drink?,____________,Yes please! Water would be great.,Yes|please!|Water|would|be|great.,1-2-6-a.mp3,1-2-6-b.mp3
