page_id,lesson_id,page_NO,text,image_NO,layout
u39_l1_p1,u39_l1,1,"「マジか！超最悪！」とか「ふぁーー！マジきれい！！」
—こういう、驚きの気持ちがあふれてる感じの表現を",39-1-1,image_top
u39_l1_p2,u39_l1,2,「感嘆文」っていうよ。,39-1-1,image_top
u39_l1_p3,u39_l1,3,感嘆文は2種類。WhatとHow。まずはこの2つを見ていこう！,39-1-1,image_top
u39_l1_p4,u39_l1,4,あ、ちなみに日本語に直訳するとなんか変に詩的になっちゃうので、,39-1-1,image_top
u39_l1_p6,u39_l1,6,"①What a モノ
「なんて〜だ！」",39-1-2-1,image_top
u39_l1_p7,u39_l1,7,"What a wonderful story!
なんて素敵な話なんだ！
（超すてきじゃん！）",39-1-2-2,image_top
u39_l1_p8,u39_l1,8,"What a ときて、
そのあとに「どんな」「なに」が続く。",39-1-2-2,image_top
u39_l1_p9,u39_l1,9,"What a beautiful day!
なんていい天気なんだ！
（うぉぉー！超いい天気じゃん！）",39-1-2-3,image_top
u39_l1_p10,u39_l1,10,"名詞が複数だったり、数えられないものだと、
a / an は消えるよ。",39-1-2-3,image_top
u39_l1_p11,u39_l1,11,"What beautiful flowers!
なんて綺麗な花なんだ！
（うわー！きれいな花ー！）",39-1-3-2,image_top
u39_l1_p12,u39_l1,12,"②How ＋ 形容詞 / 副詞！
「なんて〜なんだ！」",39-1-4-1,image_top
u39_l1_p13,u39_l1,13,"How beautiful!
なんて綺麗なんだ！
（ふぁー！美しい…！）",39-1-4-2,image_top
u39_l1_p14,u39_l1,14,"こっちは名詞がいらない。
形容詞だけでポンと言える。お手軽。",39-1-4-2,image_top
u39_l1_p15,u39_l1,15,"How kind of you!
なんて親切なの！
（マジやさしくて泣ける）",39-1-4-3,image_top
u39_l1_p16,u39_l1,16,"How fast he runs!
なんて速く走るんだ！
（マジか！？あいつ速っ！）",39-1-4-4,image_top
u39_l1_p17,u39_l1,17,"ざっくり使い分けは、
名詞まで言いたいなら What、",39-1-4-4,image_top
u39_l1_p18,u39_l1,18,形容詞だけで足りるなら How。,39-1-4-4,image_top
u39_l1_p19,u39_l1,19,"迷ったら、
What a 〜! の形がいちばんよく使われるから、",39-1-4-4,image_top
u39_l1_p20,u39_l1,20,まずはこれをマスターしよう！,39-1-4-4,image_top
