page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u2_l6_p1,u2_l6,1,"ものの名前によく
くっつくものに、
「the」があるよ。",,,2-6-1,image_top
u2_l6_p2,u2_l6,2,theってなにかというと…,,,2-6-1,image_top
u2_l6_p3,u2_l6,3,"…まずは「a」と「the」の
違いを見てみよう。",,,2-6-1,image_top
u2_l6_p4,u2_l6,4,"不特定多数のうちの1つなら
「a pencil」",,,2-6-2,image_top
u2_l6_p5,u2_l6,5,"ここでいう鉛筆は
ただの鉛筆。
だからtheはつかない。",,,2-6-2,image_top
u2_l6_p6,u2_l6,6,"ある特定の鉛筆なら
「the pencil」",,,2-6-3,image_top
u2_l6_p7,u2_l6,7,"ここで失くした鉛筆は
「あのときGetした鉛筆」だから
「the」がつくよ。",,,2-6-3,image_top
u2_l6_p8,u2_l6,8,"これからコンビニに行くとき
どのコンビニでもいいなら
「a convenience store」",,,2-6-4,image_top
u2_l6_p9,u2_l6,9,"いつも行くコンビニを
イメージしているなら、
「the convenience store」",,,2-6-5,image_top
u2_l6_p10,u2_l6,10,そんな感じ。,,,2-6-5,image_top
u2_l6_p11,u2_l6,11,"特定のものを
思い浮かべるなら
「the」をつける。",,,2-6-5,image_top
u2_l6_p12,u2_l6,12,ちょっと難しいね…,,,2-6-5,image_top
u2_l6_p13,u2_l6,13,"でも、最初から
完璧に使いこなせなくても
大丈夫！",,,2-6-6,image_top
u2_l6_p14,u2_l6,14,"たくさん英語に触れて
慣れていこう！",,,2-6-6,image_top
