page_id,lesson_id,page_NO,text,image_NO,layout
u22_l1_p1,u22_l1,1,このユニットでは、今まで散々出てきたであろう,22-1-1,image_top
u22_l1_p2,u22_l1,2,基本的な動詞について紹介するよ。,22-1-1,image_top
u22_l1_p3,u22_l1,3,基本的な動詞って、いろんな意味で使われるから、,22-1-2,image_top
u22_l1_p4,u22_l1,4,日本語に訳そうとすると10個くらい訳がついてしまう。,22-1-2,image_top
u22_l1_p5,u22_l1,5,だから、できるだけ日本語と対応させないで、,22-1-2,image_top
u22_l1_p6,u22_l1,6,動詞のイメージをつかむようにしよう！,22-1-2,image_top
u22_l1_p7,u22_l1,7,まずはgoとcome。,22-1-3-1,image_top
u22_l1_p8,u22_l1,8,こういう時、どっち使う？,22-1-3-1,image_top
u22_l1_p9,u22_l1,9,"ご飯の時間だよー
今行くよ〜",22-1-3-2,image_top
u22_l1_p10,u22_l1,10,"It's time for dinner!
I'm _______!",22-1-3-2,image_top
u22_l1_p11,u22_l1,11,"日本語的に考えると、
「行く」だから「go」かなって
思っちゃうけど、",22-1-3-3,image_top
u22_l1_p12,u22_l1,12,"ここには「come」がはいる。
現在進行系のcomingが入るよ。",22-1-3-4,image_top
u22_l1_p13,u22_l1,13,"英語では、
goは、「去る、進んでいく」ってイメージがある。",22-1-3-4,image_top
u22_l1_p14,u22_l1,14,"ここで「go」を置くと
相手から去ることになる",22-1-3-5,image_top
u22_l1_p15,u22_l1,15,相手に近づいていくというイメージの、comeを使うんだ。,22-1-3-6,image_top
u22_l1_p16,u22_l1,16,「行く」と「来る」という日本語を当ててしまうと、ずれることがあるので気をつけてね！,22-1-3-6,image_top
u22_l1_p17,u22_l1,17,ちなみにgoはこんなふうにもつかえる。,22-1-4-1,image_top
u22_l1_p18,u22_l1,18,"The food went bad.
その食べ物は腐ってしまった。",22-1-4-1,image_top
u22_l1_p19,u22_l1,19,"The coffee went cold.
コーヒーが冷めた。",22-1-4-2,image_top
u22_l1_p20,u22_l1,20,"How did the test go?
テストどうだった？",22-1-4-3,image_top
u22_l1_p21,u22_l1,21,状態が進んでいるというイメージだね。,22-1-4-3,image_top
u22_l1_p22,u22_l1,22,comeは近づいてくるイメージだから、,22-1-5-1,image_top
u22_l1_p23,u22_l1,23,"She came up with a great idea.
彼女は良いアイデアを思いついた。",22-1-5-2,image_top
u22_l1_p24,u22_l1,24,アイディアが浮かんできたんだね,22-1-5-2,image_top
u22_l1_p25,u22_l1,25,"My dream came true.
夢がかなった。",22-1-5-3,image_top
u22_l1_p26,u22_l1,26,こんな風に使われるよ,22-1-5-3,image_top
