page_id,lesson_id,page_NO,text,image_NO,layout
u15_l1_p1,u15_l1,1,◯◯ingの使い方についてお話していくんだけど、,15-1-1,image_top
u15_l1_p2,u15_l1,2,"もしかしたらもう、
みんなは◯◯ingを
日常的に使ってるんじゃない？",15-1-1,image_top
u15_l1_p3,u15_l1,3,"例えばスイミング。
（swimming）",15-1-2-1,image_top
u15_l1_p4,u15_l1,4,"ショッピング
（shopping）",15-1-2-2,image_top
u15_l1_p5,u15_l1,5,"ミーティング
（meeting）",15-1-2-3,image_top
u15_l1_p6,u15_l1,6,"これらは名詞として、
日本でも使われているよね。",15-1-2-3,image_top
u15_l1_p7,u15_l1,7,これ、文法用語で「動名詞」っていうよ。,15-1-2-4,image_top
u15_l1_p8,u15_l1,8,動詞にingがついて名詞になってるから。,15-1-2-4,image_top
u15_l1_p9,u15_l1,9,じゃあこれは？,blank,image_top
u15_l1_p10,u15_l1,10,"ワーキングマザー
（working mother）",15-1-3-1,image_top
u15_l1_p11,u15_l1,11,"ライジングサン
（rising sun）",15-1-3-2,image_top
u15_l1_p12,u15_l1,12,"ウォーキング・デッド
（映画：The Walking Dead）",15-1-3-3,image_top
u15_l1_p13,u15_l1,13,同じく動詞にingをつけてるんだけど、名詞を詳しくしてるから、形容詞っぽい役割してるよね。,15-1-3-3,image_top
u15_l1_p14,u15_l1,14,これを、文法用語では「現在分詞」っていう。,15-1-3-4,image_top
u15_l1_p15,u15_l1,15,動名詞も現在分詞も、どちらも,15-1-3-4,image_top
u15_l1_p16,u15_l1,16,"とにかくing形はみんな
「今起こってること」
を表しているんだ。",15-1-4-1,image_top
u15_l1_p17,u15_l1,17,"ing形が出てきたら、
「ライブ映像」を思い浮かべて。",15-1-4-1,image_top
u15_l1_p18,u15_l1,18,"泳いでいるライブ映像。
買い物してるライブ映像。",15-1-4-2,image_top
u15_l1_p19,u15_l1,19,"これさえイメージできたら、
ing形はすぐにマスターできちゃうよ。",15-1-4-2,image_top
