page_id,lesson_id,page_NO,text,image_NO,layout
u35_l5_p1,u35_l5,1,「なんか」飲もーよ、とか、この赤い「やつ」なに？とか、,35-5-1,image_top
u35_l5_p2,u35_l5,2,物とか事をぼんやりと指すことあるよね。,35-5-1,image_top
u35_l5_p3,u35_l5,3,そういう時に使えるのが、thingとstuff。,35-5-1,image_top
u35_l5_p4,u35_l5,4,thing→もの、こと。,35-5-2-1,image_top
u35_l5_p5,u35_l5,5,"This shop has a lot of sparkly things.
このお店にはいろんなきらきらしたものがあります。",35-5-2-2,image_top
u35_l5_p6,u35_l5,6,"I have a lot of things to do.
やることがたくさんあるの。",35-5-2-3,image_top
u35_l5_p7,u35_l5,7,"What's that red thing?
あの赤いの何？",35-5-3-1,image_top
u35_l5_p8,u35_l5,8,stuff→thingとほぼ同じだけど数えない。ひとまとめのものごと。,35-5-4-1,image_top
u35_l5_p9,u35_l5,9,"I have a lot of stuff to do.
やること色々あるんよ。",35-5-4-2,image_top
u35_l5_p10,u35_l5,10,タスクを一つ一つ見てるんじゃなくて、「やること」ひとまとめで見てる。,35-5-4-3,image_top
u35_l5_p11,u35_l5,11,"Put your stuff here.
荷物ここ置いて。

あなたの「もの」、つまり、持ち物って感じ。",35-5-4-4,image_top
u35_l5_p12,u35_l5,12,"We talked about school and stuff.
学校のこととか話した",35-5-5-1,image_top
u35_l5_p13,u35_l5,13,one→ものが1この時によくつかう。,35-5-6-1,image_top
u35_l5_p14,u35_l5,14,"Do you have a bigger one?
（お店で）もっと大きいやつありますか？",35-5-6-2,image_top
u35_l5_p15,u35_l5,15,"This one is better than that one.
これのほうが、あれよりイイね。",35-5-6-3,image_top
