page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u5_l5_p1,u5_l5,1,"さてさて、
動詞の使い方を勉強したので",,,5-5-1,image_top
u5_l5_p2,u5_l5,2,疑問文も作っちゃおう！,,,5-5-1,image_top
u5_l5_p3,u5_l5,3,"作り方は簡単！
Doを文頭に出す。",,,5-5-1,image_top
u5_l5_p4,u5_l5,4,"You play soccer.
あなたはサッカーをします。
を疑問文にするなら、",,,5-5-2-1,image_top
u5_l5_p5,u5_l5,5,"Do you play soccer?
あなたはサッカーをしますか？
にすればOK",,,5-5-2-2,image_top
u5_l5_p6,u5_l5,6,"Doっていうのは、
動詞の化身みたいなもの。",,,5-5-2-2,image_top
u5_l5_p7,u5_l5,7,"それを主語の前に出すと
疑問形が完成。",,,5-5-2-2,image_top
u5_l5_p8,u5_l5,8,"be動詞のときは
be動詞そのものを
前に出したけど",,,5-5-2-3,image_top
u5_l5_p9,u5_l5,9,"一般動詞の文の場合は、
Doを前に持ってくる。",,,5-5-2-3,image_top
u5_l5_p10,u5_l5,10,"なんでbe動詞と同じように、
動詞自体を先頭に
持ってこないのー？",,,5-5-2-3,image_top
u5_l5_p11,u5_l5,11,"…と思ったあなた！
鋭い！",,,5-5-2-3,image_top
u5_l5_p12,u5_l5,12,"昔はね、動詞自体を先頭に
持ってきてたらしいよ。",,,5-5-3-1,image_top
u5_l5_p13,u5_l5,13,"You play the piano.
→ Play you the piano?
ってね。でも今は、",,,5-5-3-1,image_top
u5_l5_p14,u5_l5,14,"Do you play the piano?
になってる。
そのほうが、いろんな場面で
スッキリシンプルに言えるから
なんだって。",,,5-5-3-2,image_top
u5_l5_p15,u5_l5,15,"もうちょっと先に進んで、
「助動詞」ってのやったら",,,5-5-3-2,image_top
u5_l5_p16,u5_l5,16,"そのスッキリする気持ちが
ちょっとわかるかも！",,,5-5-3-2,image_top
u5_l5_p17,u5_l5,17,"その時にまたきっと
お話しするよ！",,,5-5-3-2,image_top
u5_l5_p18,u5_l5,18,"そうそう、
「Do」は三単現のときに
「Does」になるよ。",,,5-5-4-2,image_top
u5_l5_p19,u5_l5,19,"She plays the piano.
↓
Does she play the piano?",,,5-5-4-2,image_top
u5_l5_p20,u5_l5,19,"Doesが三単現のsを
肩代わりしてくれて、",,,5-5-4-2,image_top
u5_l5_p21,u5_l5,19,"playsがplayに戻るから
気を付けてね！",,,5-5-4-2,image_top
