page_id,lesson_id,page_NO,text,image_NO,layout
u38_l6_p1,u38_l6,1,最後は超かしこまった場面とか、超気を使ってる感じの時に使う表現。,38-6-1,image_top
u38_l6_p2,u38_l6,2,"初対面の人とか、目上の人に、
一段グッと距離を置きたいときね。",38-6-1,image_top
u38_l6_p3,u38_l6,3,"Would you mind opening the window?
窓を開けていただけますか？",38-6-2-1,image_top
u38_l6_p4,u38_l6,4,"Would you mind …ing で
「〜していただけますか」。ちょっと堅め。",38-6-2-1,image_top
u38_l6_p5,u38_l6,5,"I'm sorry to bother you, but could you help me with this?
お忙しいところすみません、これを手伝っていただけますか？",38-6-2-2,image_top
u38_l6_p6,u38_l6,6,"「お手数ですが」みたいな前置き。
話しかける前のクッションだね。",38-6-2-2,image_top
u38_l6_p7,u38_l6,7,"I'd appreciate it if you could reply soon.
早めにお返事いただけると助かります。",38-6-3,image_top
u38_l6_p8,u38_l6,8,"「〜していただけると助かる」。
ビジネスメールとかで見るやつ。",38-6-3,image_top
u38_l6_p9,u38_l6,9,"…と、いろいろ紹介したけど、
正直そんなに気にしなくていい。",1-1-1,image_top
u38_l6_p10,u38_l6,10,"僕らはノンネイティブだからね。
Lesson4のクッションが言えれば、じゅうぶん丁寧に伝わる。",1-1-1,image_top
u38_l6_p11,u38_l6,11,それに、あまりかしこまりすぎても、関係によっては相手は嬉しくなかったりする。,1-1-1,image_top
u38_l6_p12,u38_l6,12,なんかすごい距離置かれた…みたいに感じることも。,1-1-1,image_top
u38_l6_p13,u38_l6,13,だから、特に勉強中の僕らは、それが必要な仕事以外は、最上級のかしこまりはそんなに使わなくていいかもね。,1-1-1,image_top
