page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u2_l2_p1,u2_l2,1,"まずは単数と複数を
詳しくみていこう！",,,2-2-1,image_top
u2_l2_p2,u2_l2,2,"英語では
モノが1個か複数かで",,,2-2-1,image_top
u2_l2_p3,u2_l2,3,言い方を区別してるよ。,,,2-2-1,image_top
u2_l2_p4,u2_l2,4,1個のときは「a pen」,,,2-2-2-1,image_top
u2_l2_p5,u2_l2,5,複数のときは「pens」,,,2-2-2-2,image_top
u2_l2_p6,u2_l2,6,1個の時は「a book」,,,2-2-3-1,image_top
u2_l2_p7,u2_l2,7,複数の時は「books」,,,2-2-3-2,image_top
u2_l2_p8,u2_l2,8,"1この時には「a」をつけて
複数の時は「s」が
ついた形になる。",,,2-2-3-2,image_top
u2_l2_p9,u2_l2,9,"ときどき
「an apple」みたいに",,,2-2-4-1,image_top
u2_l2_p10,u2_l2,10,"「a」じゃなくて
「an」になるものがあるよ。",,,2-2-4-1,image_top
u2_l2_p11,u2_l2,11,"「an」にしたほうが
なめらかに発音しやすいときに
「an」になりがち。",,,2-2-4-2,image_top
u2_l2_p12,u2_l2,12,"英語はなんでも滑らかに
つなげて発音する。",,,2-2-4-2,image_top
u2_l2_p13,u2_l2,13,"日本語でも
「せんたくき」を
「せんたっき」っていう。
そのほうが発音しやすいから。",,,2-2-5,image_top
u2_l2_p14,u2_l2,14,それと同じ感覚だよ（きっと）。,,,2-2-5,image_top
u2_l2_p15,u2_l2,15,"「an」になるのは
どういう時かというと…",,,2-2-4-2,image_top
u2_l2_p16,u2_l2,16,"an orange とか
an egg とか
頭がa、i、u、e、oの
ときが多いよ。",,,2-2-4-4,image_top
u2_l2_p17,u2_l2,17,あと複数形の時も,,,2-2-6-1,image_top
u2_l2_p18,u2_l2,18,"boxみたいなのは
「boxs」じゃなくて
「boxes」になる。",,,2-2-6-1,image_top
u2_l2_p19,u2_l2,19,"storyも
「storys」じゃなくて
「stories」になる。",,,2-2-6-2,image_top
u2_l2_p20,u2_l2,20,"いろいろ法則はあるんだけど
使っているうちに慣れればOK！",,,2-2-6-2,image_top
u2_l2_p21,u2_l2,21,"あ、そうそう
ちょっと話は変わるけど",,,2-2-6-2,image_top
u2_l2_p22,u2_l2,22,"「どの動物がすきー？」
みたいな質問に
答えるときは",,,2-2-7,image_top
u2_l2_p23,u2_l2,23,"基本的に複数形で
答えることが多いよ。",,,2-2-7,image_top
u2_l2_p24,u2_l2,24,"犬が好きって言いたいとき
別に「犬1匹が好き」って
限定しないよね。",,,2-2-7,image_top
u2_l2_p25,u2_l2,25,"だから物の名前をいう時は
とりあえず複数形を
思い浮かべるのを
お勧めするよー",,,2-2-7,image_top
