page_id,lesson_id,page_NO,text,image_NO,layout
u21_l1_p1,u21_l1,1,"このUnitでは、比較をするときの言い方を紹介するよ。",21-1-1,image_top
u21_l1_p2,u21_l1,2,比較というと、主に3パターン。,21-1-1,image_top
u21_l1_p3,u21_l1,3,「同じくらいだね」,21-1-2-1,image_top
u21_l1_p4,u21_l1,4,"「こっちのほうが大きいね」
「こっちの方が小さいね」",21-1-2-2,image_top
u21_l1_p5,u21_l1,5,"いくつものなかで
「最も大きいね」
「最も小さいね」",21-1-2-3,image_top
u21_l1_p6,u21_l1,6,この3つかなとおもう。,21-1-2-3,image_top
u21_l1_p7,u21_l1,7,"でね、実は、
「おなじくらい」
を表す方法はもう出てきてる。",blank,image_top
u21_l1_p8,u21_l1,8,"覚えてるかな？
覚えてたらすごい！",blank,image_top
u21_l1_p9,u21_l1,9,"それは前置詞で出てきた、「as」
「≒」（ほとんど同じ）って
意味がある。",21-1-3-1,image_top
u21_l1_p10,u21_l1,10,"Pochi is as tall as Tama.
ポチは、おなじくらい背が高い。タマとね。
（ポチはタマとおなじくらい背が高い）",21-1-3-2,image_top
u21_l1_p11,u21_l1,11,"She can run as fast as Pochi.
彼女は走れる。おなじくらい速く。ポチとね。
（彼女はポチとおなじくらい速く走れる）",21-1-4-1,image_top
u21_l1_p12,u21_l1,12,"「おなじくらい」
の言い方は、これでOKだよ！",21-1-4-1,image_top
u21_l1_p13,u21_l1,13,否定形だとどんなニュアンスになるかもみてみよう,21-1-5-1,image_top
u21_l1_p14,u21_l1,14,"This game isn't as difficult as that one.
このゲームは、同じくらい難しいわけじゃない。あのゲームとは。
（このゲームはあのゲームほど難しくありません。）",21-1-5-1,image_top
u21_l1_p15,u21_l1,15,それから、こう言うこともよくある。,21-1-5-1,image_top
u21_l1_p16,u21_l1,16,"This test is not as difficult as I expected.
このテスト、同じくらい難しいわけじゃない。私が思っていたのと。
（思っていたほど難しくはない）",21-1-6-1,image_top
u21_l1_p17,u21_l1,17,後ろのasの塊は、会話の中で省略されたりもするよ。,21-1-7-1,image_top
u21_l1_p18,u21_l1,18,"Is this boss hard?
そのボス戦、難しい？
No, it's not as difficult.
（思ったよりは）難しくないよ。",21-1-7-1,image_top
u21_l1_p19,u21_l1,19,会話の流れで明らかに何が言いたいか分かるだろって時に、省略されるよ。,21-1-7-2,image_top
u21_l1_p20,u21_l1,20,とにかく、「なんか形容詞にasついてるんだよな…」って思ったら,21-1-7-2,image_top
u21_l1_p21,u21_l1,21,"「何かと比較して、同じくらい」っていう
ニュアンスを汲み取ろう！",21-1-7-2,image_top
