page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u6_l1_p1,u6_l1,1,"「僕の〇〇」
「私の〇〇」
とかの言い方を学ぼう！",,,6-1-1,image_top
u6_l1_p2,u6_l1,2,"「私の」ペン、とか、
「私の」家、とか
言いたいとき",,,6-1-2-1,image_top
u6_l1_p3,u6_l1,3,"「my」pen
「my」house
っていうよ。",,,6-1-2-1,image_top
u6_l1_p4,u6_l1,4,"もうすでに何回か
こっそり登場してるんだけどね。",,,6-1-2-1,image_top
u6_l1_p5,u6_l1,5,"日本語でもおなじみだよね。
「マイナンバー」とかね。",,,6-1-2-1,image_top
u6_l1_p6,u6_l1,6,"これを文法用語で
所有格、というよ。",,,6-1-2-2,image_top
u6_l1_p7,u6_l1,7,"ここで、「なんたら格」を
まとめてまるっとご紹介。
「I」は主格
「my」は所有格",,,6-1-3-1,image_top
u6_l1_p8,u6_l1,8,"「me」は目的格
「mine」は独立所有格
または所有代名詞
というよ。",,,6-1-3-2,image_top
u6_l1_p9,u6_l1,9,"まあ文法用語は
あんまり覚えなくていい。",,,6-1-3-2,image_top
u6_l1_p10,u6_l1,10,"大事なのは、
どうやって使うか、だね。",,,6-1-3-2,image_top
u6_l1_p11,u6_l1,11,"「I」は主語に使う。
I have a pen.
「私は」ペンを持っている。",,,6-1-4-1,image_top
u6_l1_p12,u6_l1,12,"「my」は「my 〇〇」の
形にして使う
This is my pen.
これは「私の」ペンだよ。",,,6-1-4-2,image_top
u6_l1_p13,u6_l1,13,"「me」は「私に」「私を」
He calls me.
彼は私に電話する。",,,6-1-5-1,image_top
u6_l1_p14,u6_l1,14,"Talk to me!
「私に」話しかけて!",,,6-1-5-2,image_top
u6_l1_p15,u6_l1,15,"She knows me.
彼女は「私を」知っている。",,,6-1-5-3,image_top
u6_l1_p16,u6_l1,16,"「mine」は「私のもの」
This is mine.
これは「私の」だよ。",,,6-1-6-1,image_top
u6_l1_p17,u6_l1,17,"Mine is blue.
「私の」は青いよ。",,,6-1-6-2,image_top
u6_l1_p18,u6_l1,18,"この
I、my、me、mine
という変化は",,,6-1-6-2,image_top
u6_l1_p19,u6_l1,19,YouとかHeとかにもあるよ。,,,6-1-6-2,image_top
u6_l1_p20,u6_l1,20,"…ということで、
一覧表、カモン！",,,6-1-7-1,image_top
u6_l1_p21,u6_l1,21,"さあ、これを何回も暗唱して
覚えちゃおう。",,,6-1-7-1,image_top
u6_l1_p22,u6_l1,22,I / my / me / mine,,,6-1-7-2,image_top
u6_l1_p23,u6_l1,23,you / your / you / yours,,,6-1-7-3,image_top
u6_l1_p24,u6_l1,24,he / his / him / his,,,6-1-7-4,image_top
u6_l1_p25,u6_l1,25,she / her / her / hers,,,6-1-7-5,image_top
u6_l1_p26,u6_l1,26,it / its / it ,,,6-1-7-6,image_top
u6_l1_p27,u6_l1,27,we / our / us / ours,,,6-1-7-7,image_top
u6_l1_p28,u6_l1,28,they / their / them / theirs,,,6-1-7-8,image_top
u6_l1_p29,u6_l1,29,"覚えた？
覚えたよね？",,,6-1-7-8,image_top
u6_l1_p30,u6_l1,30,おぼえられるかーい！,,,6-1-8,image_top
u6_l1_p31,u6_l1,31,"そんなにすぐ覚えられたら
苦労しない。",,,6-1-8,image_top
u6_l1_p32,u6_l1,32,"そういう時は
使いながら覚える！",,,6-1-9,image_top
u6_l1_p33,u6_l1,33,"こんなん、
この表覚えたって
すぐに自在に使える人は
いないから",,,6-1-9,image_top
u6_l1_p34,u6_l1,34,どんどん使っていこう！,,,6-1-9,image_top
