page_id,lesson_id,page_NO,text,image_NO,layout
u22_l9_p1,u22_l9,1,次はgetという動詞。,22-9-1,image_top
u22_l9_p2,u22_l9,2,"getって、「レアカード、ゲットだぜ～！」みたいな感じの
「手に入れる」って意味が日本ではお馴染みだけど、",22-9-1,image_top
u22_l9_p3,u22_l9,3,"実は、getは 
状態が変わる
ある場所・状態に到達する
ってイメージ。",22-9-2-1,image_top
u22_l9_p4,u22_l9,4,ものごとが進んでいって、,22-9-2-2,image_top
u22_l9_p5,u22_l9,5,ある状態に到達する,22-9-2-3,image_top
u22_l9_p6,u22_l9,6,だから、こういう風に使われる。,22-9-2-3,image_top
u22_l9_p7,u22_l9,7,"My sister gets angry when I use her phone.
姉は、私がスマホを使うと怒る。",22-9-3-1,image_top
u22_l9_p8,u22_l9,8,"これ、be動詞の文、
My sister is angry.と比べてみよう。",22-9-3-2,image_top
u22_l9_p9,u22_l9,9,"「姉はおこっています。」
今の状態を説明している。",22-9-3-2,image_top
u22_l9_p10,u22_l9,10,"でも、get angryにすると、
angryの状態になる、という
動きが表現できる。",22-9-3-2,image_top
u22_l9_p11,u22_l9,11,これ、めっちゃ使えそうでしょ？,22-9-3-2,image_top
u22_l9_p12,u22_l9,12,だんだん状況が進んでいっているところを現在進行形で表現することもよくある。,22-9-4,image_top
u22_l9_p13,u22_l9,13,"It's getting dark.
暗くなってきた。",22-9-4,image_top
u22_l9_p14,u22_l9,14,"「暗い」に到達する手前の、
今まさに進行している状態。",22-9-4,image_top
u22_l9_p15,u22_l9,15,夕暮れ時にめっちゃ使える。,22-9-4,image_top
