page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u10_l7_p1,u10_l7,1,"どんどん助動詞を
増やしていこう！
次はwillだよ",,,10-7-1,image_top
u10_l7_p2,u10_l7,2,"will は「意思」
（これからやろうとしていること）と、",,,10-7-2-1,image_top
u10_l7_p3,u10_l7,3,"単純に未来のことを
表す使い方があるよ。",,,10-7-2-2,image_top
u10_l7_p4,u10_l7,4,"I will buy cake tomorrow.
明日ケーキを買うつもり。",,,10-7-3-2,image_top
u10_l7_p5,u10_l7,5,"It will rain tomorrow.
明日は雨だよ",,,10-7-3-3,image_top
u10_l7_p6,u10_l7,6,"この場合、学校では
「明日は雨が降るだろう」
って習うかもしれない。",,,10-7-3-4,image_top
u10_l7_p7,u10_l7,7,"でも、「だろう」っていうほど
推測の意味はない。",,,10-7-3-4,image_top
u10_l7_p8,u10_l7,8,"天気予報で言っている、
みたに比較的、
確度の高い未来のことを
いうらしいよ。",,,10-7-3-4,image_top
u10_l7_p9,u10_l7,9,"そうそう、I will の短縮形の
「I'll」もよく使われる。",,,10-7-4-1,image_top
u10_l7_p10,u10_l7,10,"Dinner starts at 7. 
7時から夕飯だよ
I’ll be there!
行くねー！",,,10-7-4-3,image_top
u10_l7_p11,u10_l7,11,"ほかの主語でも
短縮形が使われるよ。",,,10-7-4-3,image_top
u10_l7_p12,u10_l7,12,"She'll come to my house tomorrow.
彼女さ、明日うちに来るよ。",,,10-7-5-1,image_top
u10_l7_p13,u10_l7,13,"疑問文にすると、
意思を伺ったり
未来のことを尋ねたり
になる。",,,10-7-5-2,image_top
u10_l7_p14,u10_l7,14,"Will you marry me?
結婚してもらえますか？",,,10-7-5-2,image_top
u10_l7_p15,u10_l7,15,"否定文も見てみよう。
will not は、
短縮してwon't になるよ。",,,10-7-5-3,image_top
u10_l7_p16,u10_l7,16,"She won't listen to me.
彼女、私の言うこと聞かないんだよ😭
（聞こうとしない）",,,10-7-5-3,image_top
u10_l7_p17,u10_l7,17,さてさて、このUnitでは,,,0-0-0,image_top
u10_l7_p18,u10_l7,18,"いきなり
たくさんの助動詞を
登場させちゃったけど、",,,0-0-0,image_top
u10_l7_p19,u10_l7,19,"今すぐに全部覚えないと！って
焦らなくていいよ！",,,0-0-0,image_top
u10_l7_p20,u10_l7,20,"次のUnitからも、
例文でたくさん織り込むから",,,0-0-0,image_top
u10_l7_p21,u10_l7,21,"出てくるたびに
慣れていけばOK！",,,0-0-0,image_top
