page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u11_l1_p1,u11_l1,1,"今回からは
to不定詞というやつを
やっていくよ。",,,11-1-1,image_top
u11_l1_p2,u11_l1,2,"これ使うと、
一気に英語の幅が広がるよ！",,,11-1-1,image_top
u11_l1_p3,u11_l1,3,さてさて、,,,11-1-1,image_top
u11_l1_p4,u11_l1,4,"to は
「→◯◯へ」っていう
前置詞だってことは
前にやったけど…",,,11-1-2-1,image_top
u11_l1_p5,u11_l1,5,"例えば
I won't go to school.
「学校へ」行かないもん！
みたいにね。",,,11-1-2-3,image_top
u11_l1_p6,u11_l1,6,"もう一つ、めっちゃ便利な
機能があるんだ。",,,11-1-2-3,image_top
u11_l1_p7,u11_l1,7,"to ＋動詞で、
動詞「◯◯する」を",,,11-1-3-1,image_top
u11_l1_p8,u11_l1,8,"名詞「◯◯すること」
みたいに
動詞じゃないパーツに
することができる。",,,11-1-3-2,image_top
u11_l1_p9,u11_l1,9,"そして結構、
いろんな使い方ができる。
まずは名詞的な使い方を
みていこう",,,11-1-3-2,image_top
u11_l1_p10,u11_l1,10,"I like to play the piano.
ピアノを「弾くこと」が好き。",,,11-1-4-1,image_top
u11_l1_p11,u11_l1,11,"「play」 弾く
↓
「to play」 弾くこと
にできる",,,11-1-4-1,image_top
u11_l1_p12,u11_l1,12,"この、to＋動詞を
「to不定詞」と言うよ。",,,11-1-4-2,image_top
u11_l1_p13,u11_l1,13,"文のなかに動詞が2つ並ぶと
おかしくなっちゃうから",,,11-1-4-2,image_top
u11_l1_p14,u11_l1,14,"playをto playにして
名詞みたいにしてあげるんだ。",,,11-1-4-2,image_top
u11_l1_p15,u11_l1,15,日本語も実は同じで、,,,11-1-4-2,image_top
u11_l1_p16,u11_l1,16,"「私はピアノを弾く好む」
って言うと
ちょっと変だよね。",,,11-1-4-3,image_top
u11_l1_p17,u11_l1,17,"「弾くのを好む」って、
形を変えて、文に組み込む。
その感覚がto不定詞ね。",,,11-1-4-4,image_top
u11_l1_p18,u11_l1,18,"そうそう、
toのあとには
動詞の原形がくるよ。",,,11-1-4-5,image_top
u11_l1_p19,u11_l1,19,"3単現の時に特に注意！
He wants to sleep.
彼は寝ることをしたい。（寝たい）",,,11-1-5-1,image_top
u11_l1_p20,u11_l1,20,"wantはこの文のなかで
動詞として機能してるから、
三単現でwantsになる。",,,11-1-5-2,image_top
u11_l1_p21,u11_l1,21,"to sleepはto不定詞だから、
sleepsじゃなくて、
原形のsleepになるよ。",,,11-1-5-3,image_top
u11_l1_p22,u11_l1,22,"まずは、名詞みたいにする
to不定詞の練習、
いってみよー！",,,11-1-5-3,image_top
