page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u7_l5_p1,u7_l5,1,"形容詞と副詞のお次は、
形容詞句と副詞句ってのを
ご紹介！",,,7-5-1,image_top
u7_l5_p2,u7_l5,2,"前のほうにやった、
前置詞のついたことば、
覚えてる？",,,7-5-1,image_top
u7_l5_p3,u7_l5,3,"on sunday
in the park
みたいなもの。",,,7-5-2-1,image_top
u7_l5_p4,u7_l5,4,"これもひとまとまりで
副詞とか形容詞みたいに
使えるので、",,,7-5-2-2,image_top
u7_l5_p5,u7_l5,5,"「形容詞句」とか
「副詞句」って
呼ばれているよ。",,,7-5-2-3,image_top
u7_l5_p6,u7_l5,6,"We often go camping on Sundays.
我らは日曜日に時々キャンプに行く。",,,7-5-3-1,image_top
u7_l5_p7,u7_l5,7,"He eats lunch in the park.
彼は公園でランチをたべるよ。",,,7-5-3-2,image_top
u7_l5_p8,u7_l5,8,"これらは、
動詞を詳しくしているので
副詞句だね。",,,7-5-3-2,image_top
u7_l5_p9,u7_l5,9,"The boy in the park is my friend
公園にいる少年は僕の友達だよ。",,,7-5-3-3,image_top
u7_l5_p10,u7_l5,10,"「in the park」が
「The boy」を詳しくしてる。
だから、これは形容詞句だね。",,,7-5-3-3,image_top
u7_l5_p11,u7_l5,11,"英語の感覚って、
先に「結論」を言って、",,,7-5-4-1,image_top
u7_l5_p12,u7_l5,12,"後で詳細をペタペタ
くっつけていくことが多い。",,,7-5-4-2,image_top
u7_l5_p13,u7_l5,13,"大事なのでもう一回いうよ。
英語ではまず「結論」を言う。
次に説明をペタッと。",,,7-5-4-2,image_top
u7_l5_p14,u7_l5,14,そういう意識を持つことが大事！,,,7-5-4-2,image_top
