page_id,lesson_id,page_NO,text,image_NO,layout
u40_l6_p1,u40_l6,1,現在完了の復習だよ。,40-6-1,image_top
u40_l6_p2,u40_l6,2,これはちょっと複雑だったね。,40-6-1,image_top
u40_l6_p3,u40_l6,3,"現在完了は、今の自分の状況を言っているから、現在形ではある。
（現在のところに自分はいる）",40-6-2-1,image_top
u40_l6_p4,u40_l6,4,でも、以前に起こった（完了した）出来事があっての、今がある。,40-6-2-1,image_top
u40_l6_p5,u40_l6,5,"I have finished my homework.
have ＋ 過去分詞。
宿題もうやったよ。",40-6-2-2,image_top
u40_l6_p6,u40_l6,6,今の私にはこういう経歴がありますよ、という感じ。,40-6-2-2,image_top
u40_l6_p7,u40_l6,7,これには進行形もある。,40-6-3-1,image_top
u40_l6_p8,u40_l6,8,"現在完了進行形：
I have been playing tennis for two hours.",40-6-3-2,image_top
u40_l6_p9,u40_l6,9,僕は現在にいる。今から二時間前から、ずっとテニスをしている。,40-6-3-2,image_top
u40_l6_p10,u40_l6,10,これがhave been playing tennis。,40-6-3-2,image_top
u40_l6_p11,u40_l6,11,過去形と比べてみるよ。,40-6-4,image_top
u40_l6_p12,u40_l6,12,I played tennis for two hours.,40-6-4,image_top
u40_l6_p13,u40_l6,13,この場合は、過去の僕がテニスを二時間したよってことを言っている。,40-6-4,image_top
u40_l6_p14,u40_l6,14,ついでに現在完了形の場合も見てみるよ。,40-6-5,image_top
u40_l6_p15,u40_l6,15,I have played tennis for two hours.,40-6-5,image_top
u40_l6_p16,u40_l6,16,この場合は、僕は現在にいる。,40-6-5,image_top
u40_l6_p17,u40_l6,17,過去のある二時間、テニスをしたという経歴があるよ、今の僕にはね。,40-6-5,image_top
u40_l6_p18,u40_l6,18,ということを言っている。,40-6-5,image_top
u40_l6_p19,u40_l6,19,この場合、過去形と現在完了形はとても意味が似てるし、,40-6-5,image_top
u40_l6_p20,u40_l6,20,そんなに厳密に区別しなくても誤解される要素があんまりないから,40-6-5,image_top
u40_l6_p21,u40_l6,21,気にしなくてもいいと思うけどね。,40-6-5,image_top
