page_id,lesson_id,page_NO,text,image_NO,layout
u29_l4_p1,u29_l4,1,次は have と let。これも使役動詞のなかま。,29-4-1,image_top
u29_l4_p2,u29_l4,2,"まずhave。
have ＋ 人 ＋ 原形で「〜してもらう」。",29-4-1,image_top
u29_l4_p3,u29_l4,3,"I had the barber cut my hair.
床屋さんに髪を切ってもらった。",29-4-2-1,image_top
u29_l4_p4,u29_l4,4,"makeみたいな無理にやらせるんじゃなくて、
「やってもらって当然の人にやってもらう」感じ。",29-4-2-3,image_top
u29_l4_p5,u29_l4,5,"床屋さんは髪を切るのが仕事だからね。
むりやり感がないから、makeよりhaveがしっくりくる。",29-4-2-3,image_top
u29_l4_p6,u29_l4,6,ここのhaveのコアイメージは、うまく言えないけど、,29-4-2-3,image_top
u29_l4_p7,u29_l4,7,そういう役割を持っている、そうしてもらう立場を持ってる、っていうイメージが,29-4-2-3,image_top
u29_l4_p8,u29_l4,8,ほんのり奥のほうにある気がする。,29-4-2-3,image_top
u29_l4_p9,u29_l4,9,まあここであんまり考えすぎずに、〇〇させるって使い方があるんだな、くらいでOK！,29-4-2-3,image_top
u29_l4_p10,u29_l4,10,ちなみに、I cut my hair.にすると、,29-4-3-1,image_top
u29_l4_p11,u29_l4,11,"自分で自分の髪を切ったことになる。
「cut」が「I」の動作になってるからね。",29-4-3-2,image_top
u29_l4_p12,u29_l4,12,"次はlet。
let ＋ 人 ＋ 原形で「〜させてあげる」。",29-4-4-1,image_top
u29_l4_p13,u29_l4,13,"My dad let me use his car.
お父さんが車を使わせてくれた。",29-4-4-1,image_top
u29_l4_p14,u29_l4,14,"こっちは「許可」。
やりたいことをやらせてあげる、っていうニュアンス。",29-4-4-3,image_top
u29_l4_p15,u29_l4,15,"Let me go!
行かせて！",29-4-5,image_top
u29_l4_p16,u29_l4,16,これもletのなかま。映画とかでめっちゃよく聞く。,29-4-5,image_top
u29_l4_p17,u29_l4,17,"make・have・let、
どれもtoなしの原形が来るよ。",29-4-5,image_top
