page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u5_l1_p1,u5_l1,1,先にbe動詞を勉強したけど,,,5-1-1,image_top
u5_l1_p2,u5_l1,2,"言うなればbe動詞は
特殊な動詞。",,,5-1-1,image_top
u5_l1_p3,u5_l1,3,"ようやく普通の「動詞」
（一般動詞ともいう）
を使っていくよ！",,,5-1-1,image_top
u5_l1_p4,u5_l1,4,"一般動詞は
動作を表す言葉。",,,5-1-2-1,image_top
u5_l1_p5,u5_l1,5,"日本語で言えば
「食べる」とか「走る」とか
のこと。",,,5-1-2-2,image_top
u5_l1_p6,u5_l1,6,"英語では
食べる→「eat」
走る→「run」
っていうよ",,,5-1-2-3,image_top
u5_l1_p7,u5_l1,7,"こんなふうに
動作を示す言葉。
これが動詞ってやつ。",,,5-1-2-3,image_top
u5_l1_p8,u5_l1,8,"文にするときは、
be動詞と同じように、",,,5-1-3-1,image_top
u5_l1_p9,u5_l1,9,"主語→動詞→そのほかの説明
っていう順番で
並べればOK",,,5-1-3-1,image_top
u5_l1_p10,u5_l1,10,"I play basketball.
私はバスケをします。
playが「プレイする」っていう
動作を表す動詞だね",,,5-1-3-2,image_top
u5_l1_p11,u5_l1,11,"I eat sushi.
私は寿司をたべます。
eatが「食べる」っていう動詞。",,,5-1-3-3,image_top
u5_l1_p12,u5_l1,12,こんな感じ。,,,5-1-3-3,image_top
u5_l1_p13,u5_l1,13,"今使った
「play」「eat」は
動詞の「原形」というよ。",,,5-1-3-4,image_top
u5_l1_p14,u5_l1,14,"「原形」っていうのは
元のカタチっていうこと。
元のカタチがあるってことは…",,,5-1-3-4,image_top
u5_l1_p15,u5_l1,15,"カタチが変わることもある。
それを「活用」っていう。
日本語も「活用」があるよね。",,,5-1-4-1,image_top
u5_l1_p16,u5_l1,16,"だいぶ後のユニットで
出てくるから
まだ覚えなくてOKだけど",,,5-1-4-1,image_top
u5_l1_p17,u5_l1,17,"たとえば、日本語の場合
「食べる」は
「食べた」（過去）
「食べている」（現在進行）
みたいに形が変わる",,,5-1-4-2,image_top
u5_l1_p18,u5_l1,18,"英語も同じで
「eat」（原形）は
「ate」（過去）
「eating」（現在進行）
みたいに形が変わる",,,5-1-4-3,image_top
u5_l1_p19,u5_l1,19,"でもそれはまだ先の話。
楽しみにしていてね。",,,5-1-4-3,image_top
u5_l1_p20,u5_l1,20,"今は動詞の原形を
詳しくみていこう。",,,5-1-4-3,image_top
u5_l1_p21,u5_l1,21,"動詞の原形の文は
「だいたい最近は
こういうことするよ」
って現在のことを言ったり、",,,5-1-5-1,image_top
u5_l1_p22,u5_l1,22,"「一般的にこうするよ（事実）」
という雰囲気になるよ。",,,5-1-5-2,image_top
u5_l1_p23,u5_l1,23,"Do you eat rice?
あなたはごはん食べマスカ？
I eat rice.
私はごはん食べますよ。
（日本人だからね）",,,5-1-5-3,image_top
u5_l1_p24,u5_l1,24,"こんな感じ。
「今食べているよ」という
ライブ感は、あんまり無い。",,,5-1-5-3,image_top
u5_l1_p25,u5_l1,25,"I brush my teeth every day.
私は毎日歯を磨く。
みたいに、
習慣によく使うよ。",,,5-1-6,image_top
u5_l1_p26,u5_l1,26,"ということで
動詞の原形を使って
現在のことを表現しよう！",,,5-1-6,image_top
