page_id,lesson_id,page_NO,text,image_NO,layout
u30_l10_p1,u30_l10,1,最後は、to不定詞と受動態の合わせ技。,30-10-1,image_top
u30_l10_p2,u30_l10,2,"I want to be praised.
ほめられたい。",30-10-2-1,image_top
u30_l10_p3,u30_l10,3,"to praise（ほめる）じゃなくて、
to be praised（ほめられる）。",30-10-2-2,image_top
u30_l10_p4,u30_l10,4,to不定詞の受動態バージョン。,30-10-2-3,image_top
u30_l10_p5,u30_l10,5,toの後には動詞の原形が来るので、to be 過去分詞になるんだね。,30-10-2-4,image_top
u30_l10_p6,u30_l10,6,"No one likes to be ignored.
無視されるのは誰だっていやだよ。",30-10-3-1,image_top
u30_l10_p7,u30_l10,7,これは「無視されること」っていうto不定詞。,30-10-3-2,image_top
u30_l10_p8,u30_l10,8,"He trained hard to be selected for the team. 
チームに選ばれるように猛練習した",30-10-3-3,image_top
u30_l10_p9,u30_l10,9,これは「選ばれるように」という、to不定詞。,30-10-3-4,image_top
u30_l10_p10,u30_l10,10,受動態との合わせ技、練習いってみよー,30-10-3-4,image_top
