page_id,lesson_id,page_NO,text,image_NO,layout
u26_l1_p1,u26_l1,1,"めっちゃ、とか、マジでとか、
程度を表す副詞って色々あるけど、",26-1-1,image_top
u26_l1_p2,u26_l1,2,今回はその副詞たちをランキング形式で紹介するよ。,26-1-1,image_top
u26_l1_p3,u26_l1,3,"今回ノミネートしたのは…
日常会話でよく出てくる、この面々！",26-1-1,image_top
u26_l1_p4,u26_l1,4,"really
very
pretty
kind of
totally
a little
so",26-1-1,image_top
u26_l1_p5,u26_l1,5,じゃあ最も強い、1位から！,26-1-1,image_top
u26_l1_p6,u26_l1,6,1位 : totally （マジで・完全に）,26-1-3-1,image_top
u26_l1_p7,u26_l1,7,"I totally agree with you.
完っ全に同意！わかるー！マジでそれ！",26-1-3-2,image_top
u26_l1_p8,u26_l1,8,2位 : so （めっちゃ）,26-1-4-1,image_top
u26_l1_p9,u26_l1,9,"I'm so tired today.
今日はめっちゃ疲れた。",26-1-4-2,image_top
u26_l1_p10,u26_l1,10,3位 : really（すごく！）,26-1-5-1,image_top
u26_l1_p11,u26_l1,11,"This game is really fun.
このゲームすごく面白い。",26-1-5-2,image_top
u26_l1_p12,u26_l1,12,4位 : very （とても）,26-1-6-1,image_top
u26_l1_p13,u26_l1,13,"She is very kind.
彼女はとても親切だ。",26-1-6-2,image_top
u26_l1_p14,u26_l1,14,5位 : pretty （けっこう）,26-1-7-1,image_top
u26_l1_p15,u26_l1,15,"The movie was pretty good.
その映画、けっこう良かったよ。",26-1-7-2,image_top
u26_l1_p16,u26_l1,16,"prettyっていっても、
ここではカワイイって意味ではないよ",26-1-7-2,image_top
u26_l1_p17,u26_l1,17,6位 : kind of （なんか、ちょっと）,26-1-8-1,image_top
u26_l1_p18,u26_l1,18,"I'm kind of hungry.
なんかちょっとお腹すいた。",26-1-8-2,image_top
u26_l1_p19,u26_l1,19,7位 : a little （少しだけ）,26-1-9-1,image_top
u26_l1_p20,u26_l1,20,"I'm a little nervous.
少しだけ緊張している。",26-1-9-2,image_top
u26_l1_p21,u26_l1,21,ということで、ランキングはこのようになったよ〜,26-1-10-1,image_top
u26_l1_p22,u26_l1,22,さあ、みんなも使ってみよう！,26-1-10-1,image_top
