page_id,lesson_id,page_NO,text,image_NO,layout
u31_l6_p1,u31_l6,1,ここからは 疑問詞 ＋ to不定詞の合わせ技。,31-6-1,image_top
u31_l6_p2,u31_l6,2,疑問詞のうしろに、to 不定詞をくっつける言い方だよ。,31-6-1,image_top
u31_l6_p3,u31_l6,3,"I don't know what to say.
何を言えばいいか分からない。",31-6-2-1,image_top
u31_l6_p4,u31_l6,4,"what to say →「何を言うべきか・何を言えばいいか」。
すごく便利な形。",31-6-2-2,image_top
u31_l6_p5,u31_l6,5,この形、いろんな疑問詞で使えるよ。,31-6-2-2,image_top
u31_l6_p6,u31_l6,6,"I don't know where to go.
どこへ行けばいいかわからない。",31-6-2-3,image_top
u31_l6_p7,u31_l6,7,"She asked me when to start.
彼女は私に、いつ始めればいいか尋ねた。",31-6-3-1,image_top
u31_l6_p8,u31_l6,8,"Can you tell me how to get there?
そこへの行き方を教えてくれる？",31-6-3-2,image_top
u31_l6_p9,u31_l6,9,"how to 〜 は「〜の仕方・やり方」って訳すと、
しっくりくることが多いよ。",31-6-3-2,image_top
u31_l6_p10,u31_l6,10,"I don't know which to choose.
どれを選べばいいかわからない。",31-6-4-1,image_top
u31_l6_p11,u31_l6,11,"I don't know who to ask.
誰に聞けばいいかわからない。",31-6-4-2,image_top
u31_l6_p12,u31_l6,12,"ちなみに why to〜 はあんまり使わないから、
そこだけ頭のすみに置いといてね。",31-6-4-2,image_top
u31_l6_p13,u31_l6,13,うしろが be動詞になることもあるよ。,31-6-4-2,image_top
u31_l6_p14,u31_l6,14,"I'm not sure how to be a good friend.
いい友だちでいるには、どうすればいいのかな。",31-6-5-1,image_top
u31_l6_p15,u31_l6,15,"この be は「〜でいる・〜になる」のbe動詞。
to のうしろは原形だから、to be の形になるんだ。",31-6-5-1,image_top
