page_id,lesson_id,page_NO,text,image_NO,layout
u23_l4_p1,u23_l4,1,"受動態は、助動詞と組み合わせて、
よりいろんな表現ができる。",23-4-1,image_top
u23_l4_p2,u23_l4,2,"The game will be released next month.
そのゲームは来月発売される。",23-4-2-1,image_top
u23_l4_p3,u23_l4,3,willと合わせて、未来のことも言える。,23-4-2-1,image_top
u23_l4_p4,u23_l4,4,"The meeting may be canceled.
会議は中止されるかもしれない。",23-4-2-3,image_top
u23_l4_p5,u23_l4,5,mayは推測だね。,23-4-2-3,image_top
u23_l4_p6,u23_l4,6,じゃあこれはどうだろう？,23-4-2-3,image_top
u23_l4_p7,u23_l4,7,"This story can be read online.
この物語はオンラインで読めます。",23-4-3-1,image_top
u23_l4_p8,u23_l4,8,"これちょっと複雑だよ。
「この物語は」、が主語だから、",23-4-3-1,image_top
u23_l4_p9,u23_l4,9,"This story can readにしちゃうと、
物語が、読むという行為をすることになって
おかしいから、受動態にするよ。",23-4-3-2,image_top
u23_l4_p10,u23_l4,10,"This story can be read.
この物語は、人から読まれることが可能な状態だよってこと。",23-4-3-3,image_top
u23_l4_p11,u23_l4,11,"ここのreadは過去分詞。リードじゃなくてレッドとよむよ。
（このアプリだと読みが判別できないからリードって発音しちゃうかも…）",23-4-3-4,image_top
u23_l4_p12,u23_l4,12,活用で形は変わらないのに読みが変わる特殊なやつ。（リード、レッド、レッド）,23-4-3-4,image_top
u23_l4_p13,u23_l4,13,"だいぶ複雑になってきたけど、
頑張って慣れていこうね！",23-4-3-4,image_top
