page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u9_l1_p1,u9_l1,1,"文法を進めて、
だいぶ文が作れるように
なってきたので、",,,9-1-1,image_top
u9_l1_p2,u9_l1,2,"このあたりで新しい前置詞に
登場してもらいましょう！",,,9-1-1,image_top
u9_l1_p3,u9_l1,3,"まずは「of」
とにかくめちゃくちゃ使う。",,,9-1-2-1,image_top
u9_l1_p4,u9_l1,4,"「a cup of coffee」
コーヒーの(うち)カップ一杯分
（つまりカップ一杯のコーヒー）",,,9-1-2-2,image_top
u9_l1_p5,u9_l1,5,"「the end of the story」
ものがたりの最後
みたいに、",,,9-1-2-3,image_top
u9_l1_p6,u9_l1,6,"「〇〇の△△」の
「の」にあたるものだよ。",,,9-1-2-3,image_top
u9_l1_p7,u9_l1,7,"もやぁっと存在するものから
ポンっと一部取り出した…",,,9-1-2-3,image_top
u9_l1_p8,u9_l1,8,…そんなイメージ。,,,9-1-2-3,image_top
u9_l1_p9,u9_l1,9,"「a cup of coffee」
カップ1杯のコーヒー",,,9-1-2-4,image_top
u9_l1_p10,u9_l1,10,"「the end of the story」
ストーリーの
終わりの部分",,,9-1-2-5,image_top
u9_l1_p11,u9_l1,11,"ofには
他の意味もあるんだけど
いまはこのイメージでOK。",,,9-1-2-5,image_top
u9_l1_p12,u9_l1,12,次は「with」,,,9-1-3-1,image_top
u9_l1_p13,u9_l1,13,"これは「一緒に」という意味。
「くっついている」感が強いよ。",,,9-1-3-1,image_top
u9_l1_p14,u9_l1,14,"「Come with me」
私と一緒にきて",,,9-1-3-2,image_top
u9_l1_p15,u9_l1,15,"「A girl with long hair」
長い髪の女の子",,,9-1-3-3,image_top
u9_l1_p16,u9_l1,16,"「I eat with chopsticks. 」
私は箸で喰う。",,,9-1-3-4,image_top
u9_l1_p17,u9_l1,17,"こんなふうに
手段を言いたいときにも
つかえるよ。",,,9-1-3-4,image_top
u9_l1_p18,u9_l1,18,"「by」も手段を表すことが
あるけど、
（たとえば「by bus」とかね）",,,9-1-4-1,image_top
u9_l1_p19,u9_l1,19,"でも、「by chopsticks」とは
言わない。",,,9-1-4-2,image_top
u9_l1_p20,u9_l1,20,「by」はもっと広くて密接してないイメージ。,,,9-1-4-2,image_top
u9_l1_p21,u9_l1,21,"「with」はもっと
「自分の一部」ってくらい
密着しているイメージ。",,,9-1-4-3,image_top
u9_l1_p22,u9_l1,22,"とりあえずこのレッスンはここまで。
次回も前置詞紹介していくよ！",,,9-1-4-3,image_top
