page_id,lesson_id,page_NO,text,image_NO,layout
u40_l1_p1,u40_l1,1,ここでは時制の整理をしていこう！,40-1-1,image_top
u40_l1_p2,u40_l1,2,時制というのは、現在形、未来形、過去形とかそういうやつ。,40-1-1,image_top
u40_l1_p3,u40_l1,3,"今までに出てきた時制はこちら。
（現在形、現在進行形、現在完了形、現在完了進行形、過去形、過去進行形、未来形、未来進行形）",40-1-2-1,image_top
u40_l1_p4,u40_l1,4,そしてこのUnitでは新しく、,40-1-2-1,image_top
u40_l1_p5,u40_l1,5,"こちらの4つの時制も見ていくよ
（過去完了形、過去完了進行形、未来完了形、未来完了進行形）",40-1-2-2,image_top
u40_l1_p6,u40_l1,6,うわぁぁぁ！なんかいろいろ出てきて目が回る！,40-1-2-3,image_top
u40_l1_p7,u40_l1,7,でも、実は、日本語でも同じような「時間の概念」を意識せずに使いこなしてる。,1-1-1,image_top
u40_l1_p8,u40_l1,8,だから大丈夫！,1-1-1,image_top
u40_l1_p9,u40_l1,9,むしろ英語のほうが部品を組み合わせるだけで表現できるようになってるから、,1-1-1,image_top
u40_l1_p10,u40_l1,10,楽かもしれない！,1-1-1,image_top
u40_l1_p11,u40_l1,11,次のレッスンからは、今までやってきた時制の復習からやっていこう！,1-1-1,image_top
