page_id,lesson_id,page_NO,text,image_NO,layout
u38_l2_p1,u38_l2,1,"まずは軽く復習から。
助動詞を使うとちょっと優しくなる。助動詞を過去形にするとさらに丁寧になる、ってやったよね。",38-2-1,image_top
u38_l2_p2,u38_l2,2,"Help me, please.
手伝ってください。

これはちょっと指示してる感じ、もしくは緊急で強くお願いする感じに聞こえる。",38-2-2-1,image_top
u38_l2_p2,u38_l2,3,"Can you help me?
手伝ってくれる？

友達に軽く頼む感じがする。これが一般的によく使われる。",38-2-2-2,image_top
u38_l2_p4,u38_l2,4,"Could you help me?
手伝ってもらえますか？

ちょっと気を遣ってる感じがする。",38-2-2-3,image_top
u38_l2_p5,u38_l2,5,"canをcouldにするだけで、
ちょっと心の距離ができて気を遣った感じになるんだ。",38-2-2-3,image_top
u38_l2_p6,u38_l2,6,"Open the window, please.
窓を開けてください。

指示っぽく聞こえる。",38-2-3-1,image_top
u38_l2_p7,u38_l2,7,"Will you open the window?
窓を開けてくれる？",38-2-3-2,image_top
u38_l2_p8,u38_l2,8,"Would you open the window?
窓を開けてもらえますか？",38-2-3-3,image_top
u38_l2_p9,u38_l2,9,"willをwouldにしても同じ。
一歩引いた言い方になるんだね。",38-2-3-3,image_top
u38_l2_p10,u38_l2,10,"「過去形＝距離を置く＝気を遣う」
このイメージだけ思い出してくれればOK。",38-2-3-3,image_top
u38_l2_p11,u38_l2,11,前にもやったけど、この言い方はお店でも友達とでもどこでも使うので慣れておこう！,38-2-3-3,image_top
