page_id,lesson_id,page_NO,text,image_NO,layout
u35_l3_p1,u35_l3,1,引き続きニュアンスワード紹介するよ,35-3-1,image_top
u35_l3_p2,u35_l3,2,kindっていうのは、「親切な」って意味があるけど、それとは別に,35-3-2-1,image_top
u35_l3_p3,u35_l3,3,「種類」の意味がある。,35-3-2-2,image_top
u35_l3_p4,u35_l3,4,"What kind of food do you like?
どんな（種類の）食べ物が好き？",35-3-2-2,image_top
u35_l3_p5,u35_l3,5,そして、さらに、ニュアンスワードとしても使える。,35-3-2-2,image_top
u35_l3_p6,u35_l3,6,"「〇〇みたいな種類の」
 It's a kind of game.
ああ、それ、ゲームみたいなもんだよ",35-3-2-3,image_top
u35_l3_p7,u35_l3,7,"I'm kind of tired.
なんか疲れた",35-3-3-1,image_top
u35_l3_p8,u35_l3,8,kind of 単体で返事することもある。,35-3-3-1,image_top
u35_l3_p9,u35_l3,9,"Do you like your job?
今の仕事、好き？

Kind of...
まあねぇ…",35-3-3-2,image_top
u35_l3_p10,u35_l3,10,100%イエス！って言えないときに使えるよ！,35-3-3-2,image_top
u35_l3_p11,u35_l3,11,次は「just」,35-3-4-1,image_top
u35_l3_p12,u35_l3,12,ぴったり、ちょうどに、って意味がなじみ深いけど,35-3-4-1,image_top
u35_l3_p13,u35_l3,13,いろいろと使える便利ワード。,35-3-4-1,image_top
u35_l3_p14,u35_l3,14,"I’m just a little nervous.
ちょっとだけ緊張してるんだ。",35-3-4-2,image_top
u35_l3_p15,u35_l3,15,"Just kidding!
ただの冗談だよ！",35-3-4-3,image_top
u35_l3_p16,u35_l3,16,"It's just amazing.
もう最高！",35-3-4-4,image_top
u35_l3_p17,u35_l3,17,範囲を狭く絞っているイメージの言葉だよ～,35-3-4-4,image_top
