page_id,lesson_id,page_NO,text,image_NO,layout
u17_l7_p1,u17_l7,1,"もうひとつ、こんな文も
よく学校で出てくるってのを紹介するよ",17-7-1,image_top
u17_l7_p2,u17_l7,2,It is too hot to play soccer outside.,17-7-2-1,image_top
u17_l7_p3,u17_l7,3,"tooは、〇〇過ぎる！
限度を超えちゃってるイメージ。",17-7-2-2,image_top
u17_l7_p4,u17_l7,4,"だから、
「暑すぎるんだよぉ！」",17-7-2-3,image_top
u17_l7_p5,u17_l7,5,「サッカーをするには！外で！」,17-7-2-4,image_top
u17_l7_p6,u17_l7,6,こんな感じ。,17-7-2-4,image_top
u17_l7_p7,u17_l7,7,"これを学校では
「暑すぎて外でサッカーができない」
っていうふうに
訳しなさいって",17-7-2-4,image_top
u17_l7_p8,u17_l7,8,習うかもしれないけど、,17-7-2-4,image_top
u17_l7_p9,u17_l7,9,「too 〜to〜」は否定の意味になる、なんて型から覚えようとしたらなんか混乱しない？,17-7-2-4,image_top
u17_l7_p10,u17_l7,10,"tooのほうの意味を、
「限度を超えてる」って
正しくイメージできれば、",17-7-2-4,image_top
u17_l7_p11,u17_l7,11,"この文を読んだときに
サッカーしちゃあかんやろって
自然に思える。",17-7-2-4,image_top
