page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u4_l5_p1,u4_l5,1,"私は〇〇です、とか
あなたは〇〇です、とか",,,4-5-1,image_top
u4_l5_p2,u4_l5,2,"人を主語にした言い方を
練習したけど、",,,4-5-1,image_top
u4_l5_p3,u4_l5,3,"be動詞は
ものを主語にするときも
つかえるよ。",,,4-5-1,image_top
u4_l5_p4,u4_l5,4,"This is a pen.
これはペン（一本）だよ
と言ってるよ。",,,4-5-2,image_top
u4_l5_p5,u4_l5,5,"めったに使わないことで
有名な文。",,,4-5-2,image_top
u4_l5_p6,u4_l5,6,"That is a dog.
あれ ⇒ 犬だよ 
って言ってる。",,,4-5-3,image_top
u4_l5_p7,u4_l5,7,見りゃわかるわい！,,,4-5-3,image_top
u4_l5_p8,u4_l5,8,"The dog is big.
（その）犬 ⇒ でかいよ。",,,4-5-4-1,image_top
u4_l5_p9,u4_l5,9,"A cat is in the bathroom.
猫 ⇒ トイレの中にいるよ。
bathroomってのは
トイレのことね",,,4-5-4-2,image_top
u4_l5_p10,u4_l5,10,"アメリカとかだと、
バスルームに
トイレもお風呂も
あるのが普通だから、",,,4-5-5,image_top
u4_l5_p11,u4_l5,11,"トイレのお部屋のことを
bathroomっていうらしいよ。",,,4-5-5,image_top
u4_l5_p12,u4_l5,12,"逆に、お風呂のことを
あんまりbathroomって
言わないみたい。",,,4-5-5,image_top
u4_l5_p13,u4_l5,13,"じゃあ
「お父さんどこ？」
「風呂だよー」っていうとき
どうするかって？",,,4-5-5,image_top
u4_l5_p14,u4_l5,14,"He is in the shower.とか
He is taking a bath. って
いうらしいよ。",,,4-5-5,image_top
u4_l5_p15,u4_l5,15,なんでやねーん。,,,4-5-5,image_top
u4_l5_p16,u4_l5,16,"話を戻して、
つぎは主語が複数の場合。",,,4-5-6,image_top
u4_l5_p17,u4_l5,17,"These are pens.
これら ⇒ ペン と言ってるよ。",,,4-5-6,image_top
u4_l5_p18,u4_l5,18,"「これら」って日本語では
あまり使わないよね。",,,4-5-6,image_top
u4_l5_p19,u4_l5,19,"でも
英語ではめっちゃ使う。
慣れるべし！",,,4-5-6,image_top
u4_l5_p20,u4_l5,20,"Those are tulips.
あれら ⇒ チューリップだよ
 って言ってる。",,,4-5-7,image_top
u4_l5_p21,u4_l5,21,"「あれら」も日本では
ほとんど使わないね。",,,4-5-7,image_top
u4_l5_p22,u4_l5,22,ちなみに…,,,4-5-7,image_top
u4_l5_p23,u4_l5,23,"前の話を受けて、
それ、いいね！
みたいに言いたいときは",,,4-5-8,image_top
u4_l5_p24,u4_l5,24,"It is （It's）～
をよく使うよ。
これ、超使う。",,,4-5-8,image_top
u4_l5_p25,u4_l5,25,"This is my picture
これ ⇒ 僕の絵ー！",,,4-5-8,image_top
u4_l5_p26,u4_l5,26,"It’s great!
それ ⇒ グレイトだね！
（ええやん！）",,,4-5-8,image_top
u4_l5_p27,u4_l5,27,"This is 100 kilos.
これ、100kgあんねんで。",,,4-5-9,image_top
u4_l5_p28,u4_l5,28,"Dude, it’s a pen!
いやいや
ペンやないかーい！",,,4-5-9,image_top
