page_id,lesson_id,page_NO,text,image_NO,layout
u22_l7_p1,u22_l7,1,今度は、say、tell、speak、talkの、「話す」特集！,22-7-1,image_top
u22_l7_p2,u22_l7,2,それぞれどういう行為なのか微妙に違う。,22-7-1,image_top
u22_l7_p3,u22_l7,3,"say →何かを言う。
言った内容がセットで欲しくなる。",22-7-2-1,image_top
u22_l7_p4,u22_l7,4,"She said, ""I'm tired.""
彼女は「疲れた」と言った。",22-7-2-2,image_top
u22_l7_p5,u22_l7,5,"Don't say that.
そんなこと言わないで。",22-7-2-3,image_top
u22_l7_p6,u22_l7,6,"tell →伝える。
誰に伝えたかがセットで欲しくなる。",22-7-3-1,image_top
u22_l7_p7,u22_l7,7,"Tell me the truth.
本当のことを教えて。",22-7-3-2,image_top
u22_l7_p8,u22_l7,8,speak →話す。口から発するイメージ。,22-7-4-1,image_top
u22_l7_p9,u22_l7,9,音の出るスピーカーってあるでしょ？あのイメージ。,22-7-4-1,image_top
u22_l7_p10,u22_l7,10,"She speaks three languages.
彼女は3か国語話せる。",22-7-4-2,image_top
u22_l7_p11,u22_l7,11,talk →人と会話する,22-7-5-1,image_top
u22_l7_p12,u22_l7,12,あくまで会話。一人ではあんまりしない。,22-7-5-1,image_top
u22_l7_p13,u22_l7,13,"I talked with my friend.
友達と話した。",22-7-5-2,image_top
u22_l7_p14,u22_l7,14,色んな「話す」があったけど、似ているようで、結構違ってたね！,22-7-5-2,image_top
