page_id,lesson_id,page_NO,text,image_NO,layout
u20_l6_p1,u20_l6,1,現在進行形（～ing）だけでも、未来のことを言える。,20-6-1,image_top
u20_l6_p2,u20_l6,2,"I'm visiting Kyoto next week.
来週京都に行くんだ。",20-6-2-1,image_top
u20_l6_p3,u20_l6,3,これは、,20-6-2-1,image_top
u20_l6_p4,u20_l6,4,"I'm going to visit Kyoto next week.
京都に行く予定だ。",20-6-2-2,image_top
u20_l6_p5,u20_l6,5,と、どう違うかというと、,20-6-2-2,image_top
u20_l6_p6,u20_l6,6,予定がもっと具体的な時に~ingを使うらしいよ。,20-6-2-2,image_top
u20_l6_p7,u20_l6,7,"I'm going to visit Kyoto next week.
は、まだ計画してる段階な感じする。",20-6-2-3,image_top
u20_l6_p8,u20_l6,8,"I'm visiting Kyoto next week.
は、もう新幹線のチケット買ってる感じする。",20-6-2-4,image_top
u20_l6_p9,u20_l6,9,現在形で未来をいう時と比べてみると…,20-6-3-1,image_top
u20_l6_p10,u20_l6,10,"School starts next monday.
これは、自分ではどうにもならない決まり事って感じがする",20-6-3-3,image_top
u20_l6_p11,u20_l6,11,雰囲気つかめてきたかな？,20-6-3-3,image_top
