page_id,lesson_id,page_NO,text,image_NO,layout
u23_l2_p1,u23_l2,1,「〇〇された」という事をいうときに、受動態を使う。,23-2-1,image_top
u23_l2_p2,u23_l2,2,とにかく例を見てみよう。,23-2-1,image_top
u23_l2_p3,u23_l2,3,"Pochi writes this story.
Pochiはこの物語を書きます。",23-2-2-1,image_top
u23_l2_p4,u23_l2,4,"これはいつもの文。
これを、物語視点で見ると、",23-2-2-1,image_top
u23_l2_p5,u23_l2,5,"This story is written by Pochi.
この物語はPochiによって書かれたものです。",23-2-2-2,image_top
u23_l2_p6,u23_l2,6,"これが受動態だね。
be動詞＋過去分詞になる。",23-2-2-3,image_top
u23_l2_p7,u23_l2,7,そもそも過去分詞の中には「〇〇された」の意味があるから、,23-2-2-3,image_top
u23_l2_p8,u23_l2,8,その物語は、(this story),23-2-3-1,image_top
u23_l2_p9,u23_l2,9,こういう状態だよ。(is),23-2-3-2,image_top
u23_l2_p10,u23_l2,10,書かれたもの、という状態。(written),23-2-3-3,image_top
u23_l2_p11,u23_l2,11,Pochiによってね。,23-2-3-4,image_top
u23_l2_p12,u23_l2,12,っていう、あくまでもbe動詞の文なんだ。,23-2-3-5,image_top
u23_l2_p13,u23_l2,13,過去形も、普通のbe動詞と同じ。,23-2-3-5,image_top
u23_l2_p14,u23_l2,14,"This story was written by Pochi three years ago.
この物語は3年前にPochiによって書かれました。",23-2-3-6,image_top
u23_l2_p15,u23_l2,15,になる。,23-2-3-6,image_top
u23_l2_p16,u23_l2,16,受動態のいいところは、,23-2-3-6,image_top
u23_l2_p17,u23_l2,17,誰がやったのかが言えないときにもつかえる。,23-2-3-6,image_top
u23_l2_p18,u23_l2,18,"My bike was stolen.
自転車が盗まれた。",23-2-4-1,image_top
u23_l2_p19,u23_l2,19,犯人不明。。,23-2-4-1,image_top
u23_l2_p20,u23_l2,20,"The game was released last week.
そのゲームは先週発売された。",23-2-4-2,image_top
u23_l2_p21,u23_l2,21,「The game」がいつリリースしたかを言いたくて、,23-2-4-2,image_top
u23_l2_p22,u23_l2,22,誰が作ったかはそんなに言わなくていいとき。,23-2-4-2,image_top
u23_l2_p23,u23_l2,23,こんなときに受動態が便利！,23-2-4-2,image_top
