page_id,lesson_id,page_NO,text,image_NO,layout
u13_l10_p1,u13_l10,1,残りの3つの疑問詞、見ていこう！,13-10-1,image_top
u13_l10_p2,u13_l10,2,"which→どっち？
選択肢があるなかでの
「どちら？」「どれ？」",13-10-2-1,image_top
u13_l10_p3,u13_l10,3,"Which do you like? 
どっち？すきなのは？",13-10-2-2,image_top
u13_l10_p4,u13_l10,4,"Which book is yours?
どの本があなたの？",13-10-2-3,image_top
u13_l10_p5,u13_l10,5,"次は、whose。
「誰の？」を聞きたい。",13-10-3-1,image_top
u13_l10_p6,u13_l10,6,"Whose book is this?
誰の本？これは。",13-10-3-2,image_top
u13_l10_p7,u13_l10,7,"Whose painting do you like?
誰の絵？あなたが好きなのは。",13-10-3-3,image_top
u13_l10_p8,u13_l10,8,最後におまけのwhom,13-10-4-1,image_top
u13_l10_p9,u13_l10,9,これ、最近、会話ではほとんど使われなくなってるらしいよ。,13-10-4-1,image_top
u13_l10_p10,u13_l10,10,"以前は「誰に？」を聞きたいときはwhomを使ってた。
Whom do you want to meet?",13-10-4-2,image_top
u13_l10_p11,u13_l10,11,でも今ではそれはかなり堅い言い方で、普段の会話では使われないらしい。,13-10-4-2,image_top
u13_l10_p12,u13_l10,12,"Who do you want to meet?
の方がよく使われるんだってさ。",13-10-4-3,image_top
u13_l10_p13,u13_l10,13,"他にも例えば、今は
Who does he usually eat lunch with?
というけど、",13-10-5-1,image_top
u13_l10_p14,u13_l10,14,"With whom does he usually eat lunch?
とも言える。でもかなり堅く感じるみたい。",13-10-5-2,image_top
u13_l10_p15,u13_l10,15,とはいえ、フォーマルな文章とか格言とかには残り続けるから、頭の片隅に覚えておこう！,13-10-5-2,image_top
