page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u5_l9_p1,u5_l9,1,"がっつりと Do you ～？
って言わなくても
質問できる裏技があるよ。",,,5-9-1,image_top
u5_l9_p2,u5_l9,2,不可疑問文っていうんだ。,,,5-9-1,
u5_l9_p3,u5_l9,3,"文の最後に
「right？」をつけるだけで",,,5-9-1,image_top
u5_l9_p4,u5_l9,4,"軽く確認する感じで
聞くことができる。",,,5-9-1,image_top
u5_l9_p5,u5_l9,5,"You like coffee, right?
あなたコーヒー好き、だよね？
right? は「合ってる？」
って確認してる感じ。",,,5-9-2-1,image_top
u5_l9_p6,u5_l9,6,"She speaks Japanese, right?
彼女、日本語話すよね？",,,5-9-2-2,image_top
u5_l9_p7,u5_l9,7,こんな感じ。,,,5-9-2-2,image_top
u5_l9_p8,u5_l9,8,これはbe動詞でもつかえるよ。,,,5-9-3-1,image_top
u5_l9_p9,u5_l9,9,"He is a teacher, right?
彼、先生、だよね…？",,,5-9-3-1,image_top
u5_l9_p10,u5_l9,10,"This isn't your bag, right?
これはあなたの
バッグじゃないよね？",,,5-9-3-2,image_top
u5_l9_p11,u5_l9,11,かんたーん！,,,5-9-3-2,image_top
u5_l9_p12,u5_l9,12,"学校では、
「～ don't you?」とか
「～ isn't he?」とかを",,,5-9-3-2,image_top
u5_l9_p13,u5_l9,13,習うと思うけど、,,,5-9-3-2,image_top
u5_l9_p14,u5_l9,14,"初めは「～ right?」
をつけるだけのほうが
楽だし、使いやすいよ。",,,5-9-3-2,image_top
u5_l9_p15,u5_l9,15,"とはいえ、せっかくなので
「～ don't you?」とか
「～ isn't he?」とかも
紹介しちゃうよ。",,,5-9-3-2,image_top
u5_l9_p16,u5_l9,16,"He is Superman, isn’t he?
彼、スーパーマンだよな？",,,5-9-4-1,image_top
u5_l9_p17,u5_l9,17,"メインが肯定文の場合は
後ろに否定のプチ疑問文を
ちょこんとくっつける。",,,5-9-4-2,image_top
u5_l9_p18,u5_l9,18,"これで「〇〇…だよね？」
という疑問の感じを
後ろにつけられる。",,,5-9-4-2,image_top
u5_l9_p19,u5_l9,19,"He has a big dog, doesn't he?
彼は大きい犬を
飼っているよね？",,,5-9-5-1,image_top
u5_l9_p20,u5_l9,20,"こんなふうに
プチ疑問文をくっつける。",,,5-9-5-1,image_top
u5_l9_p21,u5_l9,21,"否定の文に
疑問の感じを足すことも
できるよ。",,,5-9-6,image_top
u5_l9_p22,u5_l9,22,"She doesn’t eat natto, does she?
みたいに、こんどは後ろが
否定じゃなくなる。",,,5-9-6,image_top
u5_l9_p23,u5_l9,23,"メインが肯定文（普通の文）なら、
否定のプチ疑問文をつける。
メインが否定文なら、
肯定のプチ疑問文をつける。",,,5-9-6,image_top
u5_l9_p24,u5_l9,24,"「～isn't it?」
「～don't you?」
とかのほうが",,,5-9-6,image_top
u5_l9_p25,u5_l9,25,"文法的には
かっちりしてる。",,,5-9-6,image_top
u5_l9_p26,u5_l9,26,"でもはじめは簡単な
「right?」で慣れて、
そのうち両方使えるように
なるといいね！",,,5-9-6,image_top
