page_id,lesson_id,page_NO,text,image_NO,layout
u13_l6_p1,u13_l6,1,"what は一番使う疑問詞。
基本的に「何？」
って意味なんだけど、",13-6-1,image_top
u13_l6_p2,u13_l6,2,"結構使い方の
バリエーションが多い。",13-6-1,image_top
u13_l6_p3,u13_l6,3,疑問詞の王様みたいなもんなんだけど、説明が複雑になるから後回しにしてたんだ…。,13-6-1,image_top
u13_l6_p4,u13_l6,4,"でも今なら大丈夫なはず！
とにかく使ってみよう！",13-6-1,image_top
u13_l6_p5,u13_l6,5,"What is this?
これは何？",13-6-2-1,image_top
u13_l6_p6,u13_l6,6,"疑問詞「何？」が先頭で、
つぎに疑問文を
くっつけるのは変わらないね。",13-6-2-2,image_top
u13_l6_p7,u13_l6,7,"What do you want to buy?
何を買いたい？",13-6-2-3,image_top
u13_l6_p8,u13_l6,8,"これも
疑問詞「何？」が先頭で、
つぎに疑問文。",13-6-2-4,image_top
u13_l6_p9,u13_l6,9,"What makes you happy?
何があなたを幸せにするの？",13-6-3-1,image_top
u13_l6_p10,u13_l6,10,"…つまり、「何をしてるときが幸せ？」
みたいなこと。",13-6-3-1,image_top
u13_l6_p11,u13_l6,11,"これは主語のところが疑問詞
Whatになってるパターンだね。",13-6-3-2,image_top
u13_l6_p12,u13_l6,12,ここまではWhoと同じような使い方だね。,13-6-3-2,image_top
u13_l6_p13,u13_l6,13,"whatの醍醐味はここから！
名詞を組み合わせて
いろんなことを聞けるんだよ。",13-6-3-2,image_top
u13_l6_p14,u13_l6,14,"What sports do you want to play?
どんなスポーツをやりたい？",13-6-4-1,image_top
u13_l6_p15,u13_l6,15,"What kind of cake do you like?
どんなケーキが好き？",13-6-4-2,image_top
u13_l6_p16,u13_l6,16,"kindっていうのは、
ここでは「種類」っていう意味。
「親切な」ではないよ。",13-6-4-3,image_top
u13_l6_p17,u13_l6,17,"どんな種類のものが
好きかを聞く時にめっちゃ使う。",13-6-4-3,image_top
u13_l6_p18,u13_l6,18,こんな感じで、名詞とセットでいろんなことを聞けるのがWhatの便利なところ。,13-6-4-3,image_top
u13_l6_p19,u13_l6,19,"使い方無限！
いっぱい使って慣らしていこう！",13-6-4-3,image_top
