page_id,lesson_id,page_NO,text,image_NO,layout
u13_l1_p1,u13_l1,1,"疑問詞ってのは、
例えば、",13-1-1,image_top
u13_l1_p2,u13_l1,2,"誰がそのケーキを食べたの！？
の、「誰が？」が疑問詞。",13-1-1,image_top
u13_l1_p3,u13_l1,3,"英語の疑問詞は
主なものは9個。",13-1-1,image_top
u13_l1_p4,u13_l1,4,いつ？when,13-1-2-1,image_top
u13_l1_p5,u13_l1,5,どこで？where,13-1-2-2,image_top
u13_l1_p6,u13_l1,6,だれが？who,13-1-2-3,image_top
u13_l1_p7,u13_l1,7,何を？what,13-1-2-4,image_top
u13_l1_p8,u13_l1,8,どうして？why,13-1-2-5,image_top
u13_l1_p9,u13_l1,9,どっち？which,13-1-2-6,image_top
u13_l1_p10,u13_l1,10,誰の？whose,13-1-2-7,image_top
u13_l1_p11,u13_l1,11,どうやって？how,13-1-2-8,image_top
u13_l1_p12,u13_l1,12,"それから、最後に
誰に？whom",13-1-2-9,image_top
u13_l1_p13,u13_l1,13,これで全部。,13-1-2-9,image_top
u13_l1_p14,u13_l1,14,前置詞より少ないね！,13-1-2-9,image_top
u13_l1_p15,u13_l1,15,"それにしても
めっちゃwhやん！
wh率、高っ！！",13-1-2-9,image_top
u13_l1_p16,u13_l1,16,"次のレッスンからは
1個ずつ使い方を解説していくね",13-1-2-9,image_top
