page_id,lesson_id,page_NO,text,image_NO,layout
u28_l3_p1,u28_l3,1,"またまた発音のお話。
今度はちゃんと
このアプリで練習するよ。",28-3-1,image_top
u28_l3_p2,u28_l3,2,"これを意識しておかないと英語はなかなか聞き取れるようにならない、重要事項。",28-3-1,image_top
u28_l3_p3,u28_l3,3,それがリンキングとリダクションなのだ。,28-3-1,image_top
u28_l3_p4,u28_l3,4,英語はとにかく「なめらかにつなげて話す」,28-3-1,image_top
u28_l3_p5,u28_l3,5,"だから、
Pick it up をピック・イット・アップって言わない。
「ピケラ」っていう。",28-3-2-1,image_top
u28_l3_p6,u28_l3,6,pickのkとitのiがつながって「キ（ケにも近い）」になって,28-3-2-2,image_top
u28_l3_p7,u28_l3,7,itのtとupのuがつながって「ラ」になる。tはつながると「ラ行」になりがち（とくにアメリカ英語）,28-3-2-3,image_top
u28_l3_p8,u28_l3,8,で、さいごのpがほぼ消える。,28-3-2-4,image_top
u28_l3_p9,u28_l3,9,前後の単語とつながるのを、リンキングって言って、,28-3-2-5,image_top
u28_l3_p10,u28_l3,10,音が消えたり弱まるのをリダクションって言う。,28-3-2-6,image_top
u28_l3_p11,u28_l3,11,"Get out of here！も
ゲット・アウト・オブ・ヒアーなんて言わない。
「ゲ↗ラ↘ロヒーァ」って感じになる。",28-3-3-1,image_top
u28_l3_p12,u28_l3,12,"Let it go ～も、
「レリゴー」になる。",28-3-3-2,image_top
u28_l3_p13,u28_l3,13,だから、英文が出てきたらなるべくよく聞いて,28-3-3-2,image_top
u28_l3_p14,u28_l3,14,"「ここつながってるなー」
「ここ消えてるなー」
ってのを分析して、",28-3-3-2,image_top
u28_l3_p15,u28_l3,15,"そのうえで、たくさん聞いて
慣れておくことが大事。",28-3-3-2,image_top
u28_l3_p16,u28_l3,16,"自分で真似して発音するのも
効果ありだよ！",28-3-3-2,image_top
