page_id,lesson_id,page_NO,text,image_NO,layout
u18_l7_p1,u18_l7,1,次は時間関係を表す接続詞を紹介するよ。,18-7-1,image_top
u18_l7_p2,u18_l7,2,"まずはwhen
「いつ？」っていう疑問詞でも出てきたけど、
ここでは接続詞的な使い方だよ。",18-7-2-1,image_top
u18_l7_p3,u18_l7,3,"I was sleeping when my mom got home.
お母さんが家に帰ってきたとき、私は寝ていた。",18-7-2-2,image_top
u18_l7_p4,u18_l7,4,whenの塊は、とある時点を指しているよ。,18-7-2-3,image_top
u18_l7_p5,u18_l7,5,"文の順番は、「こんな状態だったよ。」
「こんなことがあった時点では。」",18-7-2-4,image_top
u18_l7_p6,u18_l7,6,こういう言い方をする。,18-7-2-1,
u18_l7_p7,u18_l7,7,これも同じようにwhenの塊を文頭に持ってきてもOK。,18-7-2-5,image_top
u18_l7_p8,u18_l7,8,"When my mom got home, I was sleeping.",18-7-2-5,image_top
u18_l7_p9,u18_l7,9,あとこの時のwhenは、疑問文にしたいわけじゃないので、when does my mom〜？にはしないよ！,18-7-2-5,image_top
u18_l7_p10,u18_l7,10,"そして、while
「〜の間」",18-7-3-1,image_top
u18_l7_p11,u18_l7,11,"I was studying while Tom was cooking.
トムが料理をしている間、私は勉強していた。",18-7-3-2,image_top
u18_l7_p12,u18_l7,12,"このwhileは、ある期間を指している。
トムが料理をしてる間に。",18-7-3-3,image_top
u18_l7_p13,u18_l7,13,"文としては、こういうことをしていた。
この期間に。の順。",18-7-3-4,image_top
u18_l7_p14,u18_l7,14,"これもwhileの塊を前にもってきてもOK。
でも強調してるっぽく聞こえたりもする。",18-7-3-5,image_top
u18_l7_p15,u18_l7,15,"While Tom was cooking, I was studying.
トムが料理をしている間、私は勉強していた。",18-7-3-5,image_top
