page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u8_l1_p1,u8_l1,1,"英語と日本語を対応させて
勉強するのは
オススメしないよって話するよ。",,,8-1-1,image_top
u8_l1_p2,u8_l1,2,"どういうことかというと、
英語を丁寧に日本語に訳したり、
逆に日本語を英語に丁寧に訳したり、",,,8-1-1,image_top
u8_l1_p3,u8_l1,3,"単語帳を使って
「speak」→「話す」
みたいに",,,8-1-1,image_top
u8_l1_p4,u8_l1,4,"英語と日本語を1:1で
対応させないほうが
いいと思うんだ。",,,8-1-1,image_top
u8_l1_p5,u8_l1,5,"どうしてかと言うとね、
英語と日本語はそもそも
発想が違うんだ。",,,8-1-1,image_top
u8_l1_p6,u8_l1,6,"この例文を見てみよう。
「お布団でぬくぬくしてる時って幸せ♥」",,,8-1-2-1,image_top
u8_l1_p7,u8_l1,7,"これ、英語で
言おうとすると
どんな感じになるか？",,,8-1-2-1,image_top
u8_l1_p8,u8_l1,8,"想像してみよう。
お布団でぬくぬくしている時…
だから、",,,8-1-2-1,image_top
u8_l1_p9,u8_l1,9,"When を使うのかな？
（まだ「〇〇してる時」っていう
文法やってなかったわ！ごめん！）",,,8-1-2-2,image_top
u8_l1_p10,u8_l1,10,"日本語を英語に直そうとすると
そういう発想になっちゃう。",,,8-1-2-2,image_top
u8_l1_p11,u8_l1,11,でも自然な英語はこんな感じらしい。,,,8-1-2-3,image_top
u8_l1_p12,u8_l1,12,"Ugh, a warm bed. 
That makes me SO happy.",,,8-1-2-3,image_top
u8_l1_p13,u8_l1,13,もしくは…,,,8-1-2-3,image_top
u8_l1_p14,u8_l1,14,I love being all cozy in bed.,,,8-1-2-4,image_top
u8_l1_p15,u8_l1,15,これを日本語にしてみると、,,,8-1-2-4,image_top
u8_l1_p16,u8_l1,16,"一つ目のほうは、
「あったかいベット…、
それは私をとても幸せにするの。」",,,8-1-2-4,image_top
u8_l1_p17,u8_l1,17,そしてもう一つのほうは,,,8-1-2-4,image_top
u8_l1_p18,u8_l1,18,"「ベッドの中で完全に
心地良い状態が大好き。」",,,8-1-2-4,image_top
u8_l1_p19,u8_l1,19,こんな日本語、使わないよね。,,,8-1-2-4,image_top
u8_l1_p20,u8_l1,20,このように、,,,8-1-2-4,image_top
u8_l1_p21,u8_l1,21,"日本語の自然な言い回しと
英語の自然な言い回しは
全然違う。",,,8-1-2-4,image_top
u8_l1_p22,u8_l1,22,そもそも発想が違う。,,,8-1-2-4,image_top
u8_l1_p23,u8_l1,23,だから、,,,8-1-2-4,image_top
u8_l1_p24,u8_l1,24,"日本語と英語をつなげるのは
あまり良くないんじゃないかと
僕は思うんだ。",,,8-1-3-0,image_top
u8_l1_p25,u8_l1,25,"ぜひ、
日本語と英語の間に
「イメージ」
を挟んでほしい。",,,8-1-3-1,image_top
u8_l1_p26,u8_l1,26,日本語を英語にするときは、,,,8-1-3-1,image_top
u8_l1_p27,u8_l1,27,"日本語から、
その時の情景や状況、感情を
思い浮かべる。",,,8-1-3-2,image_top
u8_l1_p28,u8_l1,28,"そしてイメージしたそれと
英語を結びつける。",,,8-1-3-2,image_top
u8_l1_p29,u8_l1,29,"こういう状況のときは
こういう英語を使うんだな、
ってね。",,,8-1-3-2,image_top
u8_l1_p30,u8_l1,30,"これ、きっと
英語で考えるようになる
一番の近道だから、
みんなもやってみて！",,,8-1-3-2,image_top
