page_id,lesson_id,page_NO,text,image_NO,layout
u24_l4_p1,u24_l4,1,現在完了形は、自分の経歴なのだから、,24-4-1,image_top
u24_l4_p2,u24_l4,2,〇〇をしたことがある、以前に〇〇をした、以外にも,24-4-1,image_top
u24_l4_p3,u24_l4,3,ずっと〇〇してきていますってことも言える。,24-4-1,image_top
u24_l4_p4,u24_l4,4,5年間、ピアノをやっています、とかね。,24-4-1,image_top
u24_l4_p5,u24_l4,5,"I've played the piano for five years.
ピアノを5年間やっています。",24-4-2-1,image_top
u24_l4_p6,u24_l4,6,"for five yearsっていうように、
期間を言ってあげれば、",24-4-2-2,image_top
u24_l4_p7,u24_l4,7,その間やってきたって意味が付け加えられる。,24-4-2-2,image_top
u24_l4_p8,u24_l4,8,since を使えば、いつから（起点）を言うこともできるよ。,24-4-2-3,image_top
u24_l4_p9,u24_l4,9,"I've played the piano since I was a child.
子どもの頃からピアノをやっています。",24-4-2-3,image_top
u24_l4_p10,u24_l4,10,こんな感じだよ。,24-4-2-3,image_top
u24_l4_p11,u24_l4,11,"She has been in Japan for ten years.
彼女は日本に10年間います。",24-4-3-1,image_top
u24_l4_p12,u24_l4,12,"She has been in Japan since she was five years old. 
彼女は日本に、5歳の頃からいます。",24-4-3-3,image_top
u24_l4_p13,u24_l4,13,これも、今の自分を表す履歴書に書けそうだね。,24-4-3-3,image_top
