page_id,lesson_id,page_NO,text,image_NO,layout
u30_l6_p1,u30_l6,1,too 〇〇 to ～は前にもやったね。,30-6-1,image_top
u30_l6_p2,u30_l6,2,"I'm too tired to walk.
疲れすぎて歩けない。",30-6-2-1,image_top
u30_l6_p3,u30_l6,3,疲れ度が限度を超えてしまった。歩こうとしても。,30-6-2-3,image_top
u30_l6_p4,u30_l6,4,つまり、疲れすぎて歩けない、という意味になる。,30-6-2-3,image_top
u30_l6_p5,u30_l6,5,"This coffee is too hot to drink.
このコーヒー、熱すぎて飲めない。",30-6-3-1,image_top
u30_l6_p6,u30_l6,6,"「飲むには熱すぎる」
→「熱くて飲めない」ってことだね。",30-6-3-2,image_top
u30_l6_p7,u30_l6,7,じつはこれ、so〜that〜 を使った言い方もできる。,30-6-3-2,image_top
u30_l6_p8,u30_l6,8,"This coffee is so hot that I can't drink.
「とても疲れているので歩けない」",30-6-3-3,image_top
u30_l6_p9,u30_l6,9,too hot to drinkと意味は全く同じ。,30-6-3-3,image_top
u30_l6_p10,u30_l6,10,（どちらかというと、so ～ that ～のほうが日本語の感覚と近いかもね）,30-6-3-3,image_top
u30_l6_p11,u30_l6,11,はじめはお好きなほうを使って、慣れたら、,30-6-3-3,image_top
u30_l6_p12,u30_l6,12,どっちも言えると、表現の幅が広がるね！,30-6-3-3,image_top
