page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u1_l1_p1,u1_l1,1,こんにちは、僕はふわり。,,,1-1-1,image_top
u1_l1_p2,u1_l1,2,"これからいっしょに
英文法を学んでいこうね。",,,1-1-1,image_top
u1_l1_p3,u1_l1,3,"このアプリには、
講義タイプと練習タイプがあって、",,,1-1-2,image_top
u1_l1_p4,u1_l1,4,"学んだことをすぐ
実践できるようになってるよ。",,,1-1-2,image_top
u1_l1_p5,u1_l1,5,"全部覚えないと！
って気負わなくてOK",,,1-1-3,image_top
u1_l1_p6,u1_l1,6,どんどん進んでいくうちに、,,,1-1-3,image_top
u1_l1_p7,u1_l1,7,慣れるように作っているよ。,,,1-1-3,image_top
u1_l1_p8,u1_l1,8,"ポイントは、
ちょっとずつでもいいから",,,1-1-4,image_top
u1_l1_p9,u1_l1,9,毎日続けること。,,,1-1-4,image_top
u1_l1_p10,u1_l1,10,英語はとにかく使って慣れることが大事。,,,1-1-4,image_top
u1_l1_p11,u1_l1,11,"このアプリだけで
英語ぺらぺらになれるって
わけじゃないけど",,,1-1-5,image_top
u1_l1_p12,u1_l1,12,「難しいポイント」をほぐして、,,,1-1-5,image_top
u1_l1_p13,u1_l1,13,"楽しい、って
思ってもらえたらいいな！",,,1-1-5,image_top
