section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st3_sec7,st3_sec7_r01,1,fourChoices_en2ja,v0845,v0854,0
st3_sec7,st3_sec7_r02,2,fourChoices_en2ja,v0855,v0864,0
st3_sec7,st3_sec7_r03,3,fourChoices_en2ja,v0865,v0874,0
st3_sec7,st3_sec7_r04,4,fourChoices_en2ja,v0875,v0884,0
st3_sec7,st3_sec7_r05,5,fourChoices_ja2en,v0845,v0854,0
st3_sec7,st3_sec7_r06,6,fourChoices_ja2en,v0855,v0864,0
st3_sec7,st3_sec7_r07,7,fourChoices_ja2en,v0865,v0874,0
st3_sec7,st3_sec7_r08,8,fourChoices_ja2en,v0875,v0884,0
st3_sec7,st3_sec7_r09,9,typing,v0845,v0854,0
st3_sec7,st3_sec7_r10,10,typing,v0855,v0864,0
st3_sec7,st3_sec7_r11,11,typing,v0865,v0874,0
st3_sec7,st3_sec7_r12,12,typing,v0875,v0884,0
