section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st1_sec2,st1_sec2_r01,1,fourChoices_en2ja,v0041,v0050,0
st1_sec2,st1_sec2_r02,2,fourChoices_en2ja,v0051,v0060,0
st1_sec2,st1_sec2_r03,3,fourChoices_en2ja,v0061,v0070,0
st1_sec2,st1_sec2_r04,4,fourChoices_en2ja,v0071,v0080,0
st1_sec2,st1_sec2_r05,5,fourChoices_ja2en,v0041,v0050,0
st1_sec2,st1_sec2_r06,6,fourChoices_ja2en,v0051,v0060,0
st1_sec2,st1_sec2_r07,7,fourChoices_ja2en,v0061,v0070,0
st1_sec2,st1_sec2_r08,8,fourChoices_ja2en,v0071,v0080,0
st1_sec2,st1_sec2_r09,9,typing,v0041,v0050,0
st1_sec2,st1_sec2_r10,10,typing,v0051,v0060,0
st1_sec2,st1_sec2_r11,11,typing,v0061,v0070,0
st1_sec2,st1_sec2_r12,12,typing,v0071,v0080,0
