section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st2_sec10,r181,1,fourChoices_en2ja,v0584,v0603,0
st2_sec10,r182,2,fourChoices_en2ja,v0585,v0604,0
st2_sec10,r183,3,review_en2ja,v0584,v0604,1
st2_sec10,r184,4,review_en2ja,v0584,v0604,1
st2_sec10,r185,5,fourChoices_ja2en,v0584,v0603,0
st2_sec10,r186,6,fourChoices_ja2en,v0585,v0604,0
st2_sec10,r187,7,review_ja2en,v0584,v0604,1
st2_sec10,r188,8,review_ja2en,v0584,v0604,1
st2_sec10,r189,9,typing,v0584,v0593,0
st2_sec10,r190,10,typing,v0594,v0603,0
st2_sec10,r191,11,typing,v0604,v0613,0
st2_sec10,r192,12,typing,v0614,v0604,0
