section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st2_sec3,st2_sec3_r01,1,fourChoices_en2ja,v0304,v0313,0
st2_sec3,st2_sec3_r02,2,fourChoices_en2ja,v0314,v0323,0
st2_sec3,st2_sec3_r03,3,fourChoices_en2ja,v0324,v0333,0
st2_sec3,st2_sec3_r04,4,fourChoices_en2ja,v0334,v0343,0
st2_sec3,st2_sec3_r05,5,fourChoices_ja2en,v0304,v0313,0
st2_sec3,st2_sec3_r06,6,fourChoices_ja2en,v0314,v0323,0
st2_sec3,st2_sec3_r07,7,fourChoices_ja2en,v0324,v0333,0
st2_sec3,st2_sec3_r08,8,fourChoices_ja2en,v0334,v0343,0
st2_sec3,st2_sec3_r09,9,typing,v0304,v0313,0
st2_sec3,st2_sec3_r10,10,typing,v0314,v0323,0
st2_sec3,st2_sec3_r11,11,typing,v0324,v0333,0
st2_sec3,st2_sec3_r12,12,typing,v0334,v0343,0
