section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st2_sec4,st2_sec4_r01,1,fourChoices_en2ja,v0344,v0353,0
st2_sec4,st2_sec4_r02,2,fourChoices_en2ja,v0354,v0363,0
st2_sec4,st2_sec4_r03,3,fourChoices_en2ja,v0364,v0373,0
st2_sec4,st2_sec4_r04,4,fourChoices_en2ja,v0374,v0383,0
st2_sec4,st2_sec4_r05,5,fourChoices_ja2en,v0344,v0353,0
st2_sec4,st2_sec4_r06,6,fourChoices_ja2en,v0354,v0363,0
st2_sec4,st2_sec4_r07,7,fourChoices_ja2en,v0364,v0373,0
st2_sec4,st2_sec4_r08,8,fourChoices_ja2en,v0374,v0383,0
st2_sec4,st2_sec4_r09,9,typing,v0344,v0353,0
st2_sec4,st2_sec4_r10,10,typing,v0354,v0363,0
st2_sec4,st2_sec4_r11,11,typing,v0364,v0373,0
st2_sec4,st2_sec4_r12,12,typing,v0374,v0383,0
