section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st2_sec9,st2_sec9_r01,1,fourChoices_en2ja,v0544,v0553,0
st2_sec9,st2_sec9_r02,2,fourChoices_en2ja,v0554,v0563,0
st2_sec9,st2_sec9_r03,3,fourChoices_en2ja,v0564,v0573,0
st2_sec9,st2_sec9_r04,4,fourChoices_en2ja,v0574,v0583,0
st2_sec9,st2_sec9_r05,5,fourChoices_ja2en,v0544,v0553,0
st2_sec9,st2_sec9_r06,6,fourChoices_ja2en,v0554,v0563,0
st2_sec9,st2_sec9_r07,7,fourChoices_ja2en,v0564,v0573,0
st2_sec9,st2_sec9_r08,8,fourChoices_ja2en,v0574,v0583,0
st2_sec9,st2_sec9_r09,9,typing,v0544,v0553,0
st2_sec9,st2_sec9_r10,10,typing,v0554,v0563,0
st2_sec9,st2_sec9_r11,11,typing,v0564,v0573,0
st2_sec9,st2_sec9_r12,12,typing,v0574,v0583,0
