section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st3_sec1,st3_sec1_r01,1,fourChoices_en2ja,v0605,v0614,0
st3_sec1,st3_sec1_r02,2,fourChoices_en2ja,v0615,v0624,0
st3_sec1,st3_sec1_r03,3,fourChoices_en2ja,v0625,v0634,0
st3_sec1,st3_sec1_r04,4,fourChoices_en2ja,v0635,v0644,0
st3_sec1,st3_sec1_r05,5,fourChoices_ja2en,v0605,v0614,0
st3_sec1,st3_sec1_r06,6,fourChoices_ja2en,v0615,v0624,0
st3_sec1,st3_sec1_r07,7,fourChoices_ja2en,v0625,v0634,0
st3_sec1,st3_sec1_r08,8,fourChoices_ja2en,v0635,v0644,0
st3_sec1,st3_sec1_r09,9,typing,v0605,v0614,0
st3_sec1,st3_sec1_r10,10,typing,v0615,v0624,0
st3_sec1,st3_sec1_r11,11,typing,v0625,v0634,0
st3_sec1,st3_sec1_r12,12,typing,v0635,v0644,0
