section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st4_sec3,st4_sec3_r01,1,fourChoices_en2ja,v1123,v1132,0
st4_sec3,st4_sec3_r02,2,fourChoices_en2ja,v1133,v1142,0
st4_sec3,st4_sec3_r03,3,fourChoices_en2ja,v1143,v1152,0
st4_sec3,st4_sec3_r04,4,fourChoices_en2ja,v1153,v1162,0
st4_sec3,st4_sec3_r05,5,fourChoices_ja2en,v1123,v1132,0
st4_sec3,st4_sec3_r06,6,fourChoices_ja2en,v1133,v1142,0
st4_sec3,st4_sec3_r07,7,fourChoices_ja2en,v1143,v1152,0
st4_sec3,st4_sec3_r08,8,fourChoices_ja2en,v1153,v1162,0
st4_sec3,st4_sec3_r09,9,typing,v1123,v1132,0
st4_sec3,st4_sec3_r10,10,typing,v1133,v1142,0
st4_sec3,st4_sec3_r11,11,typing,v1143,v1152,0
st4_sec3,st4_sec3_r12,12,typing,v1153,v1162,0
