section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st1_sec3,st1_sec3_r01,1,fourChoices_en2ja,v0081,v0090,0
st1_sec3,st1_sec3_r02,2,fourChoices_en2ja,v0091,v0100,0
st1_sec3,st1_sec3_r03,3,fourChoices_en2ja,v0101,v0110,0
st1_sec3,st1_sec3_r04,4,fourChoices_en2ja,v0111,v0120,0
st1_sec3,st1_sec3_r05,5,fourChoices_ja2en,v0081,v0090,0
st1_sec3,st1_sec3_r06,6,fourChoices_ja2en,v0091,v0100,0
st1_sec3,st1_sec3_r07,7,fourChoices_ja2en,v0101,v0110,0
st1_sec3,st1_sec3_r08,8,fourChoices_ja2en,v0111,v0120,0
st1_sec3,st1_sec3_r09,9,typing,v0081,v0090,0
st1_sec3,st1_sec3_r10,10,typing,v0091,v0100,0
st1_sec3,st1_sec3_r11,11,typing,v0101,v0110,0
st1_sec3,st1_sec3_r12,12,typing,v0111,v0120,0
