section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st1_sec4,st1_sec4_r01,1,fourChoices_en2ja,v0121,v0130,0
st1_sec4,st1_sec4_r02,2,fourChoices_en2ja,v0131,v0140,0
st1_sec4,st1_sec4_r03,3,fourChoices_en2ja,v0141,v0150,0
st1_sec4,st1_sec4_r04,4,fourChoices_en2ja,v0151,v0160,0
st1_sec4,st1_sec4_r05,5,fourChoices_ja2en,v0121,v0130,0
st1_sec4,st1_sec4_r06,6,fourChoices_ja2en,v0131,v0140,0
st1_sec4,st1_sec4_r07,7,fourChoices_ja2en,v0141,v0150,0
st1_sec4,st1_sec4_r08,8,fourChoices_ja2en,v0151,v0160,0
st1_sec4,st1_sec4_r09,9,typing,v0121,v0130,0
st1_sec4,st1_sec4_r10,10,typing,v0131,v0140,0
st1_sec4,st1_sec4_r11,11,typing,v0141,v0150,0
st1_sec4,st1_sec4_r12,12,typing,v0151,v0160,0
