section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st2_sec6,st2_sec6_r01,1,fourChoices_en2ja,v0424,v0433,0
st2_sec6,st2_sec6_r02,2,fourChoices_en2ja,v0434,v0443,0
st2_sec6,st2_sec6_r03,3,fourChoices_en2ja,v0444,v0453,0
st2_sec6,st2_sec6_r04,4,fourChoices_en2ja,v0454,v0463,0
st2_sec6,st2_sec6_r05,5,fourChoices_ja2en,v0424,v0433,0
st2_sec6,st2_sec6_r06,6,fourChoices_ja2en,v0434,v0443,0
st2_sec6,st2_sec6_r07,7,fourChoices_ja2en,v0444,v0453,0
st2_sec6,st2_sec6_r08,8,fourChoices_ja2en,v0454,v0463,0
st2_sec6,st2_sec6_r09,9,typing,v0424,v0433,0
st2_sec6,st2_sec6_r10,10,typing,v0434,v0443,0
st2_sec6,st2_sec6_r11,11,typing,v0444,v0453,0
st2_sec6,st2_sec6_r12,12,typing,v0454,v0463,0
