section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st3_sec5,st3_sec5_r01,1,fourChoices_en2ja,v0765,v0774,0
st3_sec5,st3_sec5_r02,2,fourChoices_en2ja,v0775,v0784,0
st3_sec5,st3_sec5_r03,3,fourChoices_en2ja,v0785,v0794,0
st3_sec5,st3_sec5_r04,4,fourChoices_en2ja,v0795,v0804,0
st3_sec5,st3_sec5_r05,5,fourChoices_ja2en,v0765,v0774,0
st3_sec5,st3_sec5_r06,6,fourChoices_ja2en,v0775,v0784,0
st3_sec5,st3_sec5_r07,7,fourChoices_ja2en,v0785,v0794,0
st3_sec5,st3_sec5_r08,8,fourChoices_ja2en,v0795,v0804,0
st3_sec5,st3_sec5_r09,9,typing,v0765,v0774,0
st3_sec5,st3_sec5_r10,10,typing,v0775,v0784,0
st3_sec5,st3_sec5_r11,11,typing,v0785,v0794,0
st3_sec5,st3_sec5_r12,12,typing,v0795,v0804,0
