section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st1_sec1,st1_sec1_r01,1,fourChoices_en2ja,v0001,v0010,0
st1_sec1,st1_sec1_r02,2,fourChoices_en2ja,v0011,v0020,0
st1_sec1,st1_sec1_r03,3,fourChoices_en2ja,v0021,v0030,0
st1_sec1,st1_sec1_r04,4,fourChoices_en2ja,v0031,v0040,0
st1_sec1,st1_sec1_r05,5,fourChoices_ja2en,v0001,v0010,0
st1_sec1,st1_sec1_r06,6,fourChoices_ja2en,v0011,v0020,0
st1_sec1,st1_sec1_r07,7,fourChoices_ja2en,v0021,v0030,0
st1_sec1,st1_sec1_r08,8,fourChoices_ja2en,v0031,v0040,0
st1_sec1,st1_sec1_r09,9,typing,v0001,v0010,0
st1_sec1,st1_sec1_r10,10,typing,v0011,v0020,0
st1_sec1,st1_sec1_r11,11,typing,v0021,v0030,0
st1_sec1,st1_sec1_r12,12,typing,v0031,v0040,0
