section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st4_sec5,st4_sec5_r01,1,fourChoices_en2ja,v1203,v1212,0
st4_sec5,st4_sec5_r02,2,fourChoices_en2ja,v1213,v1222,0
st4_sec5,st4_sec5_r03,3,fourChoices_en2ja,v1223,v1232,0
st4_sec5,st4_sec5_r04,4,fourChoices_en2ja,v1233,v1242,0
st4_sec5,st4_sec5_r05,5,fourChoices_ja2en,v1203,v1212,0
st4_sec5,st4_sec5_r06,6,fourChoices_ja2en,v1213,v1222,0
st4_sec5,st4_sec5_r07,7,fourChoices_ja2en,v1223,v1232,0
st4_sec5,st4_sec5_r08,8,fourChoices_ja2en,v1233,v1242,0
st4_sec5,st4_sec5_r09,9,typing,v1203,v1212,0
st4_sec5,st4_sec5_r10,10,typing,v1213,v1222,0
st4_sec5,st4_sec5_r11,11,typing,v1223,v1232,0
st4_sec5,st4_sec5_r12,12,typing,v1233,v1242,0
