section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st3_sec3,st3_sec3_r01,1,fourChoices_en2ja,v0685,v0694,0
st3_sec3,st3_sec3_r02,2,fourChoices_en2ja,v0695,v0704,0
st3_sec3,st3_sec3_r03,3,fourChoices_en2ja,v0705,v0714,0
st3_sec3,st3_sec3_r04,4,fourChoices_en2ja,v0715,v0724,0
st3_sec3,st3_sec3_r05,5,fourChoices_ja2en,v0685,v0694,0
st3_sec3,st3_sec3_r06,6,fourChoices_ja2en,v0695,v0704,0
st3_sec3,st3_sec3_r07,7,fourChoices_ja2en,v0705,v0714,0
st3_sec3,st3_sec3_r08,8,fourChoices_ja2en,v0715,v0724,0
st3_sec3,st3_sec3_r09,9,typing,v0685,v0694,0
st3_sec3,st3_sec3_r10,10,typing,v0695,v0704,0
st3_sec3,st3_sec3_r11,11,typing,v0705,v0714,0
st3_sec3,st3_sec3_r12,12,typing,v0715,v0724,0
